stage,contrast,mean_beta_uV,sem_beta_uV,t,p_uncorrected,cohen_dz,n_subjects,p_fdr
EditIntegration,Mouth,-0.1966418104036586,0.06794332365879534,-2.894203577546108,0.007434654196075155,-0.5469530649843174,28,0.052042579372526085
EditIntegration,Surface,-0.15520757585147657,0.062418860667824524,-2.4865493248498605,0.01937880689930213,-0.4699136525891636,28,0.06782582414755746
EditIntegration,Surface_minus_Structural,-0.13079368164355187,0.07413324863854562,-1.7643052752384796,0.08899312088506506,-0.33342235679145577,28,0.20765061539848514
EditIntegration,Skin,-0.11377334129929449,0.07700955299017592,-1.477392568605203,0.15114105556236504,-0.279200951810307,28,0.2644968472341388
EditIntegration,Eye,-0.06884491792229964,0.06285747067719608,-1.095254345753937,0.2830794131579427,-0.2069836158019763,28,0.3963111784211198
EditIntegration,Structural,-0.024413894207924714,0.03638446179692555,-0.6709978106639923,0.5079220178344502,-0.12680666694898055,28,0.5925756874735253
EditIntegration,FSlim,0.02001712950645022,0.06687916416460121,0.29930292575404494,0.7670007889056906,0.05656293630137373,28,0.7670007889056906
LPP,Surface_minus_Structural,-0.12979755966734666,0.057477032508970884,-2.258250887379896,0.032218759918795054,-0.4267693032855811,28,0.19562053425919956
LPP,Skin,-0.1305181862220557,0.06798247108610832,-1.9198799946053453,0.06549642792497902,-0.3628232152009837,28,0.19562053425919956
LPP,Surface,-0.09133485784111033,0.050879501978443674,-1.79512090900195,0.08383737182537124,-0.33924596417938346,28,0.19562053425919956
LPP,Structural,0.038462701826236324,0.03948842011280431,0.9740248335173229,0.33869049125511147,0.18407339144913762,28,0.49396763730023857
LPP,Eye,0.058060323903425214,0.07029864030747758,0.8259096285429778,0.4160939657651266,0.1560822487527466,28,0.49396763730023857
LPP,Mouth,-0.05215152946016495,0.0641570226218921,-0.8128732807243682,0.42340083197163303,-0.15361861058613374,28,0.49396763730023857
LPP,FSlim,0.018865079749047452,0.0498956393640594,0.3780907508048942,0.7083195138167824,0.07145243568881744,28,0.7083195138167824
N170,Surface,-0.10727601885323654,0.06226987609671227,-1.7227594717969978,0.09636908951311933,-0.3255709379397035,28,0.41841785190164343
N170,Mouth,-0.1477981204279229,0.092219723673401,-1.6026736422606784,0.12064280102929116,-0.302876849301418,28,0.41841785190164343
N170,Surface_minus_Structural,-0.07707655846866947,0.05590765040249381,-1.378640631716324,0.17932193652927575,-0.26053858991788426,28,0.41841785190164343
N170,Skin,-0.06675391727855018,0.058115850351320525,-1.148635301299233,0.2607810749617705,-0.21707166816767973,28,0.45636688118309837
N170,FSlim,-0.08555063680349619,0.08693450356948812,-0.984081501484784,0.3338122570851103,-0.18597392305341273,28,0.46733715991915437
N170,Structural,-0.030199460384567094,0.0546721419422952,-0.5523738290049384,0.5852363765622949,-0.10438884159197027,28,0.6219775522990302
N170,Eye,0.025151716034362014,0.05042701432268242,0.4987746423656219,0.6219775522990303,0.094259547426044,28,0.6219775522990302
P2_EPN,Mouth,-0.16275719022074261,0.11367341840091262,-1.431796391014805,0.16367742995106016,-0.2705840841932121,28,0.48532198927179154
P2_EPN,FSlim,-0.0914350818406769,0.070490467331243,-1.2971269066923998,0.20556261913101814,-0.245133943857041,28,0.48532198927179154
P2_EPN,Surface,-0.09297748523714866,0.07207632914338913,-1.2899864122127895,0.20799513825933924,-0.24378451724053535,28,0.48532198927179154
P2_EPN,Structural,-0.03480284763639586,0.03771601512893489,-0.9227604644186254,0.36430510402213595,-0.17438533632386774,28,0.6301672460581894
P2_EPN,Surface_minus_Structural,-0.05817463760075279,0.07591176613423362,-0.7663454634671978,0.4501194614701353,-0.1448256796211957,28,0.6301672460581894
P2_EPN,Skin,-0.023197780253554734,0.06858083879823405,-0.33825454252321097,0.7377875808875747,-0.06392409995388132,28,0.743208244413271
P2_EPN,Eye,0.021829386567885172,0.06595209426051048,0.330988527546361,0.743208244413271,0.06255095219308021,28,0.743208244413271
