subj,stage,contrast,mean_beta_uV
s1,N170,Skin,0.17072546145549802
s1,N170,FSlim,-0.1967701232014513
s1,N170,Eye,-0.26602271123973376
s1,N170,Mouth,-0.32712572088842495
s1,N170,Surface,-0.07820012971646348
s1,N170,Structural,-0.2313964172205925
s1,N170,Surface_minus_Structural,0.15319628750412906
s1,P2_EPN,Skin,0.04586449173965613
s1,P2_EPN,FSlim,0.007422988220213575
s1,P2_EPN,Eye,-0.3063922076366757
s1,P2_EPN,Mouth,-0.04867346917549298
s1,P2_EPN,Surface,-0.0014044887179184284
s1,P2_EPN,Structural,-0.14948460970823108
s1,P2_EPN,Surface_minus_Structural,0.14808012099031265
s1,EditIntegration,Skin,0.09367934544160393
s1,EditIntegration,FSlim,-0.022915657510348304
s1,EditIntegration,Eye,-0.29429888466175913
s1,EditIntegration,Mouth,0.07620112430304202
s1,EditIntegration,Surface,0.08494023487232297
s1,EditIntegration,Structural,-0.15860727108605374
s1,EditIntegration,Surface_minus_Structural,0.24354750595837674
s1,LPP,Skin,-0.09316824183315468
s1,LPP,FSlim,-0.06300798431208879
s1,LPP,Eye,-0.2569025512263061
s1,LPP,Mouth,-0.28167819356666857
s1,LPP,Surface,-0.18742321769991166
s1,LPP,Structural,-0.15995526776919744
s1,LPP,Surface_minus_Structural,-0.027467949930714188
s2,N170,Skin,-0.04843639714510968
s2,N170,FSlim,0.20331291757197856
s2,N170,Eye,-0.1472405531382628
s2,N170,Mouth,0.15169630934808895
s2,N170,Surface,0.05162995610148963
s2,N170,Structural,0.028036182216857896
s2,N170,Surface_minus_Structural,0.023593773884631727
s2,P2_EPN,Skin,0.32197428737482986
s2,P2_EPN,FSlim,0.31012489876262217
s2,P2_EPN,Eye,-0.24899548074903136
s2,P2_EPN,Mouth,-0.19038004592879254
s2,P2_EPN,Surface,0.06579712072301862
s2,P2_EPN,Structural,0.03056470900679541
s2,P2_EPN,Surface_minus_Structural,0.035232411716223225
s2,EditIntegration,Skin,0.5101568351277448
s2,EditIntegration,FSlim,0.43477029334879536
s2,EditIntegration,Eye,-0.43335206431639595
s2,EditIntegration,Mouth,-0.3286898928666169
s2,EditIntegration,Surface,0.09073347113056396
s2,EditIntegration,Structural,0.0007091145161997152
s2,EditIntegration,Surface_minus_Structural,0.09002435661436425
s2,LPP,Skin,0.24027909208464182
s2,LPP,FSlim,0.5283095976068675
s2,LPP,Eye,-0.6168642632795582
s2,LPP,Mouth,-0.042038036853407165
s2,LPP,Surface,0.09912052761561733
