subj,contrast,time_ms,beta_uV
s1,FSlim,0.0,-0.06994696256026536
s1,FSlim,20.0,-0.38359100077912434
s1,FSlim,40.0,-0.28088616664224564
s1,FSlim,60.0,-0.272173474025983
s1,FSlim,80.0,-0.22786217125869612
s1,FSlim,100.0,-0.33678675808025105
s1,FSlim,120.0,-0.6899200373345863
s1,FSlim,140.0,-0.4323180661059216
s1,FSlim,160.0,-0.2075495221756113
s1,FSlim,180.0,-0.04692494291661076
s1,FSlim,200.0,-0.10028796160766154
s1,FSlim,220.0,-0.15469312433834004
s1,FSlim,240.0,-0.07401859405689147
s1,FSlim,260.0,0.07033828237202056
s1,FSlim,280.0,0.15274452381412956
s1,FSlim,300.0,0.15045480313802437
s1,FSlim,320.0,-0.10958733661419892
s1,FSlim,340.0,-0.14761004326894678
s1,FSlim,360.0,-0.11941095751403037
s1,FSlim,380.0,0.10242415459852566
s1,FSlim,400.0,0.32557638306812936
s1,FSlim,420.0,-0.007202087648362542
s1,FSlim,440.0,-0.3779701758419272
s1,FSlim,460.0,-0.3376348771524669
s1,FSlim,480.0,0.16407841612562515
s1,FSlim,500.0,0.28973735512178844
s1,FSlim,520.0,0.04387105182284656
s1,FSlim,540.0,-0.2578970398958231
s1,FSlim,560.0,0.03699933839300565
s1,FSlim,580.0,0.3833098403718483
s1,FSlim,600.0,0.16162449252995664
s1,FSlim,620.0,-0.20011295725288414
s1,FSlim,640.0,-0.10754574588064972
s1,FSlim,660.0,0.051451081149568256
s1,FSlim,680.0,0.08308729991229685
s1,FSlim,700.0,-0.017628543908012034
s1,FSlim,720.0,-0.12304955224965951
s1,FSlim,740.0,-0.30510582925987034
s1,FSlim,760.0,-0.3897030439142172
s1,FSlim,780.0,-0.36419960879405733
s1,FSlim,800.0,-0.24542539473689393
s1,FSlim,820.0,-0.03515707088806197
s1,FSlim,840.0,0.08687479508050255
s1,FSlim,860.0,-0.07317924956249124
s1,FSlim,880.0,-0.1363070648310235
s1,FSlim,900.0,0.05572494659976581
s1,FSlim,920.0,0.047359998294366
s1,FSlim,940.0,0.2505424089187569
s1,FSlim,960.0,0.2560864253628823
s1,FSlim,980.0,0.12800643279038176
s1,Eye,0.0,0.11581898194117927
s1,Eye,20.0,0.2294813257373896
s1,Eye,40.0,0.29343797263941623
s1,Eye,60.0,0.3574709778916905
s1,Eye,80.0,0.2661217557420551
s1,Eye,100.0,-0.027439529680241354
s1,Eye,120.0,0.014241890769057977
s1,Eye,140.0,-0.26326429193581125
s1,Eye,160.0,-0.41841725357088155
s1,Eye,180.0,-0.14398188452519445
s1,Eye,200.0,-0.23842741492704772
s1,Eye,220.0,-0.3155483419689444
s1,Eye,240.0,-0.5610308591785054
s1,Eye,260.0,-0.25486799764953905
s1,Eye,280.0,-0.09399129281860771
s1,Eye,300.0,-0.3744873392774101
s1,Eye,320.0,-0.3892253008705201
s1,Eye,340.0,-0.03710439176904437
s1,Eye,360.0,0.0540555668460026
s1,Eye,380.0,-0.34265722459586867
s1,Eye,400.0,-0.418790745030433
s1,Eye,420.0,-0.31888588089172043
s1,Eye,440.0,-0.5272957617050792
s1,Eye,460.0,-0.6135626557195907
s1,Eye,480.0,-0.5778779899643448
s1,Eye,500.0,-0.6314067368003908
s1,Eye,520.0,-0.6315081231488757
s1,Eye,540.0,-0.34145756052831117
s1,Eye,560.0,-0.17392083735543423
s1,Eye,580.0,-0.04871634397312469
s1,Eye,600.0,-0.3630340570182936
s1,Eye,620.0,-0.8086342320433322
s1,Eye,640.0,-0.4573667900658083
s1,Eye,660.0,-0.08122912661426171
s1,Eye,680.0,0.04961979972854211
s1,Eye,700.0,-0.1817964819195354
s1,Eye,720.0,-0.19573512225346157
s1,Eye,740.0,0.03777108260496076
s1,Eye,760.0,0.20938678017760998
s1,Eye,780.0,0.10798557256707886
s1,Eye,800.0,0.07723690025306337
s1,Eye,820.0,0.32350802688772484
s1,Eye,840.0,0.2660908152134386
s1,Eye,860.0,0.20363954000444062
s1,Eye,880.0,0.19130639849173675
s1,Eye,900.0,0.03850086619700786
s1,Eye,920.0,0.15962603432530129
s1,Eye,940.0,0.37155498848140645
s1,Eye,960.0,0.3175120051772113
s1,Eye,980.0,0.2670596523371705
s1,Mouth,0.0,-0.4070635326667003
s1,Mouth,20.0,-0.6701653848353182
s1,Mouth,40.0,-0.3864740255064406
s1,Mouth,60.0,-0.14952125937487568
s1,Mouth,80.0,-0.23557685727687308
s1,Mouth,100.0,-0.2876760523193743
s1,Mouth,120.0,-0.33737745737097197
s1,Mouth,140.0,-0.4455432940107181
s1,Mouth,160.0,-0.420265277075056
s1,Mouth,180.0,-0.23646841331036633
s1,Mouth,200.0,-0.20622589915755943
s1,Mouth,220.0,-0.22337167868383678
s1,Mouth,240.0,-0.0646936175025831
s1,Mouth,260.0,0.03399227636707805
s1,Mouth,280.0,0.08324916244770267
s1,Mouth,300.0,0.08500894147624069
s1,Mouth,320.0,0.14318513718871306
s1,Mouth,340.0,0.20270476783430158
s1,Mouth,360.0,0.2962696883028364
s1,Mouth,380.0,0.18592858264464776
s1,Mouth,400.0,-0.08785303187240717
s1,Mouth,420.0,0.014902758395941351
s1,Mouth,440.0,-0.23053784954593753
s1,Mouth,460.0,-0.6577383609699172
s1,Mouth,480.0,-0.40093009161754145
s1,Mouth,500.0,0.17573698771385476
s1,Mouth,520.0,-0.1359761949531703
s1,Mouth,540.0,-0.38925550657437913
s1,Mouth,560.0,-0.4358683934061287
s1,Mouth,580.0,0.007949723494411753
s1,Mouth,600.0,0.1659269918209696
s1,Mouth,620.0,-0.40967498173739086
s1,Mouth,640.0,-0.3194220085184399
s1,Mouth,660.0,-0.34861208884587325
s1,Mouth,680.0,-0.2064504807536912
s1,Mouth,700.0,-0.04639492428535397
s1,Mouth,720.0,-0.3136756368503235
s1,Mouth,740.0,-0.5344364217240559
s1,Mouth,760.0,-0.469506769284071
s1,Mouth,780.0,-0.4612347966361303
s1,Mouth,800.0,-0.29064453107280397
