subj,stage,contrast,channel,beta_uV
s1,N170,FSlim,AF3,0.09572050955438
s1,N170,FSlim,AF4,0.20800225435131875
s1,N170,FSlim,F7,0.2911311582496774
s1,N170,FSlim,F5,0.28373401200497694
s1,N170,FSlim,F3,0.3010003837461106
s1,N170,FSlim,F1,0.005787251735105525
s1,N170,FSlim,FZ,0.03461895839205342
s1,N170,FSlim,F2,-0.21254476276621226
s1,N170,FSlim,F4,0.0906445990394415
s1,N170,FSlim,F6,0.46216857314734094
s1,N170,FSlim,F8,0.002300434648811661
s1,N170,FSlim,FT7,0.2665140637208131
s1,N170,FSlim,FC5,0.1650620352613976
s1,N170,FSlim,FC3,0.150849457248194
s1,N170,FSlim,FC1,-0.18862934503022416
s1,N170,FSlim,FCZ,-0.19175749730637004
s1,N170,FSlim,FC2,-0.32960102038044925
s1,N170,FSlim,FC4,-0.4222623713064296
s1,N170,FSlim,FC6,0.3208712594882329
s1,N170,FSlim,FT8,0.2578426588708587
s1,N170,FSlim,T7,0.7517692106555756
s1,N170,FSlim,C5,0.21433953406900064
s1,N170,FSlim,C3,-0.3495925321740985
s1,N170,FSlim,C1,-0.3586758678298469
s1,N170,FSlim,CZ,-0.5025819105685737
s1,N170,FSlim,C2,-0.8589725412916186
s1,N170,FSlim,C4,-0.7523050824947983
s1,N170,FSlim,C6,-0.017980029347199555
s1,N170,FSlim,T8,0.2595304553298488
s1,N170,FSlim,M1,1.3335122386392
s1,N170,FSlim,TP7,0.6718757932297663
s1,N170,FSlim,CP5,0.33406687087241405
s1,N170,FSlim,CP3,-0.30392465054969275
s1,N170,FSlim,CP1,-0.4353196052605114
s1,N170,FSlim,CPZ,-0.27817764542762463
s1,N170,FSlim,CP2,-0.6975025139016092
s1,N170,FSlim,CP4,-0.9303759855648812
s1,N170,FSlim,CP6,-0.26417473584354223
s1,N170,FSlim,TP8,0.21761090876212555
s1,N170,FSlim,M2,0.941754926419065
s1,N170,FSlim,P7,0.36812170387962223
s1,N170,FSlim,P5,0.0519971927763708
s1,N170,FSlim,P3,-0.24302949496503334
s1,N170,FSlim,P1,-0.3461848180868429
s1,N170,FSlim,PZ,-0.3908747664870599
s1,N170,FSlim,P2,-0.7214862703512674
s1,N170,FSlim,P4,-0.7344940491657981
s1,N170,FSlim,P6,-0.7202012432084393
s1,N170,FSlim,P8,0.10470771275533308
s1,N170,FSlim,PO7,0.1548372371773431
s1,N170,FSlim,PO5,0.14418088147505637
s1,N170,FSlim,PO3,0.14375926679549328
s1,N170,FSlim,POZ,-0.2657765076263442
s1,N170,FSlim,PO4,0.21966803736780682
s1,N170,FSlim,PO6,0.27149680105901197
s1,N170,FSlim,PO8,0.2987858970667353
s1,N170,FSlim,CB1,0.15040753215278163
s1,N170,FSlim,O1,0.12844250467910928
s1,N170,FSlim,OZ,0.27594400802646785
s1,N170,FSlim,O2,0.18263422591964557
s1,N170,FSlim,CB2,0.36072276677457354
s1,N170,Eye,AF3,0.7558519051992348
s1,N170,Eye,AF4,1.2083597041763592
s1,N170,Eye,F7,1.0086330660017724
s1,N170,Eye,F5,1.0163877081106745
s1,N170,Eye,F3,1.0153122924471814
s1,N170,Eye,F1,0.18423698608594435
s1,N170,Eye,FZ,0.20781176678925167
s1,N170,Eye,F2,0.20817438472143707
s1,N170,Eye,F4,0.36936864782679685
s1,N170,Eye,F6,0.4430720796489735
s1,N170,Eye,F8,-0.11183512374892668
s1,N170,Eye,FT7,0.5621691128407711
s1,N170,Eye,FC5,0.2660380720995385
s1,N170,Eye,FC3,0.2608633941573667
s1,N170,Eye,FC1,0.12307136225156798
s1,N170,Eye,FCZ,-0.1552805448518391
s1,N170,Eye,FC2,0.0653788348859762
s1,N170,Eye,FC4,-0.0796918632264361
s1,N170,Eye,FC6,0.3288634650761141
s1,N170,Eye,FT8,0.042250447307750516
s1,N170,Eye,T7,0.4619973151412352
s1,N170,Eye,C5,0.18886888572516175
s1,N170,Eye,C3,-0.13927650925736523
s1,N170,Eye,C1,-0.23027807455588795
s1,N170,Eye,CZ,-0.4214489032097669
s1,N170,Eye,C2,-0.4677790075871858
s1,N170,Eye,C4,-0.4791347037470234
s1,N170,Eye,C6,0.06360443699753679
s1,N170,Eye,T8,0.24801383155265383
s1,N170,Eye,M1,0.25323582335198175
s1,N170,Eye,TP7,0.26106355197394726
s1,N170,Eye,CP5,0.004064085674449658
s1,N170,Eye,CP3,-0.12641682778286012
s1,N170,Eye,CP1,-0.36848850573110853
s1,N170,Eye,CPZ,-0.3845854409592911
s1,N170,Eye,CP2,-0.5853682714843594
s1,N170,Eye,CP4,-0.4439535781878372
s1,N170,Eye,CP6,-0.08734978965284637
s1,N170,Eye,TP8,-0.2038498619875957
s1,N170,Eye,M2,0.5972374350676783
s1,N170,Eye,P7,0.19652173739464862
s1,N170,Eye,P5,0.07075182495236412
s1,N170,Eye,P3,0.1501536707852809
s1,N170,Eye,P1,-0.3828705933804257
s1,N170,Eye,PZ,-0.7208598904935244
s1,N170,Eye,P2,-0.6105180267027
s1,N170,Eye,P4,-0.4097055915536255
s1,N170,Eye,P6,-0.4119335767072854
s1,N170,Eye,P8,-0.24651344840332567
s1,N170,Eye,PO7,-0.0814473772609591
s1,N170,Eye,PO5,-0.06635615640820669
s1,N170,Eye,PO3,-0.058505181492133435
s1,N170,Eye,POZ,-0.4232088342213199
s1,N170,Eye,PO4,-0.482842372090027
s1,N170,Eye,PO6,-0.4190432400073141
s1,N170,Eye,PO8,-0.3867123850933668
s1,N170,Eye,CB1,-0.09255447874067624
s1,N170,Eye,O1,-0.07528532965979923
s1,N170,Eye,OZ,-0.5108940833636063
s1,N170,Eye,O2,-0.508822576395344
s1,N170,Eye,CB2,-0.38855719559391916
s1,N170,Mouth,AF3,-0.04731167193017505
s1,N170,Mouth,AF4,0.3330032964772058
s1,N170,Mouth,F7,0.2208486099177247
s1,N170,Mouth,F5,0.21005239366607237
s1,N170,Mouth,F3,0.21275280378280165
s1,N170,Mouth,F1,0.2976716780066532
s1,N170,Mouth,FZ,0.29702189784320987
s1,N170,Mouth,F2,0.5117243319783092
s1,N170,Mouth,F4,0.6920609996970859
s1,N170,Mouth,F6,0.7028191691263895
s1,N170,Mouth,F8,0.0903515813511658
s1,N170,Mouth,FT7,-0.14368735831885088
s1,N170,Mouth,FC5,0.12948730504233907
s1,N170,Mouth,FC3,0.1718910195087922
s1,N170,Mouth,FC1,0.30499433441694657
s1,N170,Mouth,FCZ,0.38903248324724604
s1,N170,Mouth,FC2,0.6225916327904972
s1,N170,Mouth,FC4,0.5994749381800506
s1,N170,Mouth,FC6,1.1311172220663663
s1,N170,Mouth,FT8,0.36853523907258523
s1,N170,Mouth,T7,-0.1482569630802543
s1,N170,Mouth,C5,0.15518480109134233
s1,N170,Mouth,C3,0.30021280719856797
s1,N170,Mouth,C1,0.30300030419115775
s1,N170,Mouth,CZ,0.24500698821576716
s1,N170,Mouth,C2,0.3342872659352779
s1,N170,Mouth,C4,0.5927501623998648
s1,N170,Mouth,C6,1.171184723966641
s1,N170,Mouth,T8,0.30981260289979007
s1,N170,Mouth,M1,-1.1054190726395066
s1,N170,Mouth,TP7,0.02270113120831209
s1,N170,Mouth,CP5,0.280846968197881
s1,N170,Mouth,CP3,0.29343168896742444
s1,N170,Mouth,CP1,0.30083477392132946
s1,N170,Mouth,CPZ,0.30568533723971936
s1,N170,Mouth,CP2,0.4434131372919831
s1,N170,Mouth,CP4,0.6386496602080869
s1,N170,Mouth,CP6,0.87956280789414
s1,N170,Mouth,TP8,0.4023139675884375
s1,N170,Mouth,M2,-0.42839251142741
s1,N170,Mouth,P7,-0.23212455926592612
s1,N170,Mouth,P5,0.05292710771643713
s1,N170,Mouth,P3,0.23147791935910242
s1,N170,Mouth,P1,0.11399736895374427
s1,N170,Mouth,PZ,-0.04216012715031557
s1,N170,Mouth,P2,0.03317823032203769
s1,N170,Mouth,P4,0.02060602602606639
s1,N170,Mouth,P6,0.006532242178088496
s1,N170,Mouth,P8,-0.22156228598298983
s1,N170,Mouth,PO7,-0.7845723496455248
s1,N170,Mouth,PO5,-0.81217089988708
s1,N170,Mouth,PO3,-0.8064862820124665
s1,N170,Mouth,POZ,-0.673039153724206
s1,N170,Mouth,PO4,-1.3104683012242897
s1,N170,Mouth,PO6,-1.226719792660638
s1,N170,Mouth,PO8,-1.216172004413449
s1,N170,Mouth,CB1,-0.7942186490238965
s1,N170,Mouth,O1,-0.8256063968660636
s1,N170,Mouth,OZ,-1.3184059823621017
s1,N170,Mouth,O2,-1.3375458657336796
s1,N170,Mouth,CB2,-1.2487131556341486
s1,N170,Skin,AF3,-0.25231718416570165
s1,N170,Skin,AF4,-0.6066950025576621
s1,N170,Skin,F7,0.8129925987322396
s1,N170,Skin,F5,0.8490708842590686
s1,N170,Skin,F3,0.788175104836983
s1,N170,Skin,F1,-0.29510600580234925
s1,N170,Skin,FZ,-0.657447578753124
s1,N170,Skin,F2,-0.6823109973253871
s1,N170,Skin,F4,-0.8698642593285678
s1,N170,Skin,F6,-0.5945748647992204
s1,N170,Skin,F8,-0.35697506452084116
s1,N170,Skin,FT7,1.0346325901432467
s1,N170,Skin,FC5,0.6214028650079835
s1,N170,Skin,FC3,0.5707610588956107
s1,N170,Skin,FC1,-0.23466296697998623
s1,N170,Skin,FCZ,-0.7307888355992331
s1,N170,Skin,FC2,-0.8167878456511455
s1,N170,Skin,FC4,-1.1355741669095283
s1,N170,Skin,FC6,-0.7393386680503384
s1,N170,Skin,FT8,-0.6576253500469289
s1,N170,Skin,T7,0.8678256308080123
s1,N170,Skin,C5,0.6944448522669491
s1,N170,Skin,C3,0.9306597286629138
s1,N170,Skin,C1,0.14443678651844882
s1,N170,Skin,CZ,-0.47269198885413755
s1,N170,Skin,C2,-1.0183324582509534
s1,N170,Skin,C4,-1.2544454700823477
s1,N170,Skin,C6,-0.7137653108931201
s1,N170,Skin,T8,-0.6105890695118129
s1,N170,Skin,M1,0.26336254683981586
s1,N170,Skin,TP7,0.42696660408385984
s1,N170,Skin,CP5,0.8156243945844405
s1,N170,Skin,CP3,0.9412517827261452
s1,N170,Skin,CP1,0.49702992854747763
s1,N170,Skin,CPZ,0.005878618026997462
s1,N170,Skin,CP2,-0.6822962973697646
s1,N170,Skin,CP4,-1.0107908979414415
s1,N170,Skin,CP6,-0.8520501935353928
s1,N170,Skin,TP8,-0.5400966916510458
s1,N170,Skin,M2,-0.19769587442437891
s1,N170,Skin,P7,0.5579895873492255
s1,N170,Skin,P5,0.8032319885962526
s1,N170,Skin,P3,1.247566301560396
s1,N170,Skin,P1,0.8588449911961863
s1,N170,Skin,PZ,0.37943298948579995
s1,N170,Skin,P2,-0.17659519693772927
s1,N170,Skin,P4,-0.5775471782151382
s1,N170,Skin,P6,-0.5682894936295008
s1,N170,Skin,P8,-0.27213231468466426
s1,N170,Skin,PO7,0.7050592553458075
s1,N170,Skin,PO5,0.6973527833909364
s1,N170,Skin,PO3,0.7225064379846392
s1,N170,Skin,POZ,0.4695867925077577
s1,N170,Skin,PO4,-0.032951952547079215
s1,N170,Skin,PO6,-0.12295458586075678
s1,N170,Skin,PO8,-0.15794877734143067
s1,N170,Skin,CB1,0.6987917902604145
s1,N170,Skin,O1,0.6685843499398825
s1,N170,Skin,OZ,-0.025233102624098745
s1,N170,Skin,O2,-0.025141953880306947
s1,N170,Skin,CB2,-0.1318370146759904
s1,N170,Surface,AF3,-0.14981442804793835
s1,N170,Surface,AF4,-0.13684585304022814
s1,N170,Surface,F7,0.5169206043249821
s1,N170,Surface,F5,0.5295616389625705
s1,N170,Surface,F3,0.5004639543098923
s1,N170,Surface,F1,0.001282836102151963
s1,N170,Surface,FZ,-0.18021284045495706
s1,N170,Surface,F2,-0.08529333267353895
s1,N170,Surface,F4,-0.08890162981574096
s1,N170,Surface,F6,0.05412215216358457
s1,N170,Surface,F8,-0.13331174158483766
s1,N170,Surface,FT7,0.4454726159121979
s1,N170,Surface,FC5,0.3754450850251613
s1,N170,Surface,FC3,0.3713260392022014
s1,N170,Surface,FC1,0.03516568371848017
s1,N170,Surface,FCZ,-0.17087817617599355
s1,N170,Surface,FC2,-0.09709810643032413
s1,N170,Surface,FC4,-0.26804961436473884
s1,N170,Surface,FC6,0.19588927700801395
s1,N170,Surface,FT8,-0.14454505548717184
s1,N170,Surface,T7,0.35978433386387904
s1,N170,Surface,C5,0.4248148266791457
s1,N170,Surface,C3,0.6154362679307409
s1,N170,Surface,C1,0.2237185453548033
s1,N170,Surface,CZ,-0.11384250031918519
s1,N170,Surface,C2,-0.34202259615783775
s1,N170,Surface,C4,-0.3308476538412415
s1,N170,Surface,C6,0.22870970653676048
s1,N170,Surface,T8,-0.15038823330601142
s1,N170,Surface,M1,-0.42102826289984535
s1,N170,Surface,TP7,0.22483386764608596
s1,N170,Surface,CP5,0.5482356813911607
s1,N170,Surface,CP3,0.6173417358467848
s1,N170,Surface,CP1,0.3989323512344035
s1,N170,Surface,CPZ,0.1557819776333584
s1,N170,Surface,CP2,-0.11944158003889074
s1,N170,Surface,CP4,-0.1860706188666773
s1,N170,Surface,CP6,0.013756307179373595
s1,N170,Surface,TP8,-0.06889136203130414
s1,N170,Surface,M2,-0.31304419292589447
s1,N170,Surface,P7,0.1629325140416497
s1,N170,Surface,P5,0.42807954815634486
s1,N170,Surface,P3,0.7395221104597491
s1,N170,Surface,P1,0.48642118007496526
s1,N170,Surface,PZ,0.16863643116774218
s1,N170,Surface,P2,-0.0717084833078458
s1,N170,Surface,P4,-0.2784705760945359
s1,N170,Surface,P6,-0.28087862572570615
s1,N170,Surface,P8,-0.24684730033382704
s1,N170,Surface,PO7,-0.039756547149858656
s1,N170,Surface,PO5,-0.0574090582480718
s1,N170,Surface,PO3,-0.04198992201391366
s1,N170,Surface,POZ,-0.10172618060822414
s1,N170,Surface,PO4,-0.6717101268856844
s1,N170,Surface,PO6,-0.6748371892606974
s1,N170,Surface,PO8,-0.6870603908774399
s1,N170,Surface,CB1,-0.047713429381741
s1,N170,Surface,O1,-0.07851102346309058
s1,N170,Surface,OZ,-0.6718195424931003
s1,N170,Surface,O2,-0.6813439098069933
s1,N170,Surface,CB2,-0.6902750851550695
s1,N170,Structural,AF3,0.4257862073768074
s1,N170,Structural,AF4,0.7081809792638389
s1,N170,Structural,F7,0.6498821121257249
s1,N170,Structural,F5,0.6500608600578257
s1,N170,Structural,F3,0.658156338096646
s1,N170,Structural,F1,0.09501211891052494
s1,N170,Structural,FZ,0.12121536259065255
s1,N170,Structural,F2,-0.002185189022387596
s1,N170,Structural,F4,0.23000662343311917
s1,N170,Structural,F6,0.4526203263981572
s1,N170,Structural,F8,-0.05476734455005751
s1,N170,Structural,FT7,0.4143415882807921
s1,N170,Structural,FC5,0.21555005368046803
s1,N170,Structural,FC3,0.20585642570278034
s1,N170,Structural,FC1,-0.03277899138932809
s1,N170,Structural,FCZ,-0.17351902107910455
s1,N170,Structural,FC2,-0.13211109274723654
s1,N170,Structural,FC4,-0.25097711726643285
s1,N170,Structural,FC6,0.3248673622821735
s1,N170,Structural,FT8,0.15004655308930462
s1,N170,Structural,T7,0.6068832628984053
s1,N170,Structural,C5,0.2016042098970812
s1,N170,Structural,C3,-0.24443452071573188
s1,N170,Structural,C1,-0.2944769711928674
s1,N170,Structural,CZ,-0.4620154068891703
s1,N170,Structural,C2,-0.6633757744394022
s1,N170,Structural,C4,-0.6157198931209109
s1,N170,Structural,C6,0.022812203825168617
s1,N170,Structural,T8,0.2537721434412513
s1,N170,Structural,M1,0.7933740309955909
s1,N170,Structural,TP7,0.4664696726018568
s1,N170,Structural,CP5,0.16906547827343185
s1,N170,Structural,CP3,-0.21517073916627644
s1,N170,Structural,CP1,-0.40190405549581
s1,N170,Structural,CPZ,-0.33138154319345786
s1,N170,Structural,CP2,-0.6414353926929843
s1,N170,Structural,CP4,-0.6871647818763592
s1,N170,Structural,CP6,-0.1757622627481943
s1,N170,Structural,TP8,0.006880523387264928
s1,N170,Structural,M2,0.7694961807433717
s1,N170,Structural,P7,0.28232172063713545
s1,N170,Structural,P5,0.06137450886436746
s1,N170,Structural,P3,-0.046437912089876215
s1,N170,Structural,P1,-0.3645277057336343
s1,N170,Structural,PZ,-0.5558673284902922
s1,N170,Structural,P2,-0.6660021485269837
s1,N170,Structural,P4,-0.5720998203597119
s1,N170,Structural,P6,-0.5660674099578623
s1,N170,Structural,P8,-0.0709028678239963
s1,N170,Structural,PO7,0.036694929958192
s1,N170,Structural,PO5,0.03891236253342484
s1,N170,Structural,PO3,0.04262704265167992
s1,N170,Structural,POZ,-0.34449267092383207
s1,N170,Structural,PO4,-0.1315871673611101
s1,N170,Structural,PO6,-0.07377321947415105
s1,N170,Structural,PO8,-0.04396324401331575
s1,N170,Structural,CB1,0.028926526706052696
s1,N170,Structural,O1,0.026578587509655027
s1,N170,Structural,OZ,-0.11747503766856923
s1,N170,Structural,O2,-0.16309417523784922
s1,N170,Structural,CB2,-0.013917214409672807
s1,N170,Surface_minus_Structural,AF3,-0.5756006354247457
s1,N170,Surface_minus_Structural,AF4,-0.845026832304067
s1,N170,Surface_minus_Structural,F7,-0.13296150780074278
s1,N170,Surface_minus_Structural,F5,-0.12049922109525524
s1,N170,Surface_minus_Structural,F3,-0.15769238378675365
s1,N170,Surface_minus_Structural,F1,-0.09372928280837298
s1,N170,Surface_minus_Structural,FZ,-0.3014282030456096
s1,N170,Surface_minus_Structural,F2,-0.08310814365115135
s1,N170,Surface_minus_Structural,F4,-0.31890825324886013
s1,N170,Surface_minus_Structural,F6,-0.3984981742345726
s1,N170,Surface_minus_Structural,F8,-0.07854439703478015
s1,N170,Surface_minus_Structural,FT7,0.031131027631405794
s1,N170,Surface_minus_Structural,FC5,0.15989503134469324
s1,N170,Surface_minus_Structural,FC3,0.16546961349942108
s1,N170,Surface_minus_Structural,FC1,0.06794467510780826
s1,N170,Surface_minus_Structural,FCZ,0.002640844903111006
s1,N170,Surface_minus_Structural,FC2,0.03501298631691241
s1,N170,Surface_minus_Structural,FC4,-0.017072497098305994
s1,N170,Surface_minus_Structural,FC6,-0.12897808527415955
s1,N170,Surface_minus_Structural,FT8,-0.2945916085764765
s1,N170,Surface_minus_Structural,T7,-0.2470989290345263
s1,N170,Surface_minus_Structural,C5,0.22321061678206452
s1,N170,Surface_minus_Structural,C3,0.8598707886464728
s1,N170,Surface_minus_Structural,C1,0.5181955165476707
s1,N170,Surface_minus_Structural,CZ,0.3481729065699851
s1,N170,Surface_minus_Structural,C2,0.32135317828156446
s1,N170,Surface_minus_Structural,C4,0.2848722392796694
s1,N170,Surface_minus_Structural,C6,0.20589750271159185
s1,N170,Surface_minus_Structural,T8,-0.40416037674726274
s1,N170,Surface_minus_Structural,M1,-1.2144022938954362
s1,N170,Surface_minus_Structural,TP7,-0.24163580495577083
s1,N170,Surface_minus_Structural,CP5,0.37917020311772887
s1,N170,Surface_minus_Structural,CP3,0.8325124750130612
s1,N170,Surface_minus_Structural,CP1,0.8008364067302135
s1,N170,Surface_minus_Structural,CPZ,0.48716352082681624
s1,N170,Surface_minus_Structural,CP2,0.5219938126540936
s1,N170,Surface_minus_Structural,CP4,0.5010941630096819
s1,N170,Surface_minus_Structural,CP6,0.18951856992756788
s1,N170,Surface_minus_Structural,TP8,-0.07577188541856907
s1,N170,Surface_minus_Structural,M2,-1.082540373669266
s1,N170,Surface_minus_Structural,P7,-0.11938920659548574
s1,N170,Surface_minus_Structural,P5,0.3667050392919774
s1,N170,Surface_minus_Structural,P3,0.7859600225496254
s1,N170,Surface_minus_Structural,P1,0.8509488858085996
s1,N170,Surface_minus_Structural,PZ,0.7245037596580344
s1,N170,Surface_minus_Structural,P2,0.594293665219138
s1,N170,Surface_minus_Structural,P4,0.29362924426517595
s1,N170,Surface_minus_Structural,P6,0.28518878423215616
s1,N170,Surface_minus_Structural,P8,-0.17594443250983074
s1,N170,Surface_minus_Structural,PO7,-0.07645147710805066
s1,N170,Surface_minus_Structural,PO5,-0.09632142078149664
s1,N170,Surface_minus_Structural,PO3,-0.08461696466559358
s1,N170,Surface_minus_Structural,POZ,0.24276649031560793
s1,N170,Surface_minus_Structural,PO4,-0.5401229595245743
s1,N170,Surface_minus_Structural,PO6,-0.6010639697865463
s1,N170,Surface_minus_Structural,PO8,-0.6430971468641241
s1,N170,Surface_minus_Structural,CB1,-0.0766399560877937
s1,N170,Surface_minus_Structural,O1,-0.1050896109727456
s1,N170,Surface_minus_Structural,OZ,-0.554344504824531
s1,N170,Surface_minus_Structural,O2,-0.5182497345691441
s1,N170,Surface_minus_Structural,CB2,-0.6763578707453968
s1,P2_EPN,FSlim,AF3,0.4311336579038564
s1,P2_EPN,FSlim,AF4,0.5417359637592649
s1,P2_EPN,FSlim,F7,0.34677391440039507
s1,P2_EPN,FSlim,F5,0.3186168992889292
s1,P2_EPN,FSlim,F3,0.30042709108894244
s1,P2_EPN,FSlim,F1,-0.45005224181318837
s1,P2_EPN,FSlim,FZ,-0.13097723392367772
s1,P2_EPN,FSlim,F2,-0.19914169071578508
