contrast,cluster_start_ms,cluster_end_ms,duration_ms,direction,cluster_mass_abs_t,cluster_p,n_timepoints,peak_time_ms,peak_t,peak_mean_beta_uV
Surface_minus_Structural,420.0,580.0,180.0,negative,25.553374791607435,0.010994502748625687,9,520.0,-3.521054485591762,-0.18786133225230733
Surface,420.0,580.0,180.0,negative,25.06681576131033,0.01699150424787606,9,560.0,-3.2550214018417636,-0.23736651627241723
Skin,440.0,580.0,160.0,negative,21.26902575461436,0.025987006496751622,8,580.0,-3.3707118243483376,-0.301085554719117
Mouth,300.0,380.0,100.0,negative,13.41391770484515,0.03948025987006497,5,340.0,-3.1398866697837002,-0.2679679727255052
Structural,920.0,980.0,80.0,positive,11.781644966399655,0.06346826586706647,4,980.0,3.2725247914159206,0.15656509909704638
Eye,680.0,740.0,80.0,positive,9.929253525782734,0.10994502748625687,4,700.0,2.6606734590102414,0.21145044543123273
Eye,940.0,980.0,60.0,positive,7.673171547612601,0.15142428785607195,3,980.0,2.5748594848681017,0.18471608121680919
Surface,320.0,340.0,40.0,negative,4.894174167560387,0.21539230384807595,2,320.0,-2.7231371157917574,-0.18275265998047938
Surface_minus_Structural,880.0,900.0,40.0,negative,4.868178892168474,0.21889055472263869,2,880.0,-2.5190782972377948,-0.16724484812891527
Structural,680.0,700.0,40.0,positive,5.123144694387659,0.23638180909545228,2,700.0,2.6164818440133137,0.127949628699651
Surface_minus_Structural,980.0,980.0,20.0,negative,2.509313896730246,0.3523238380809595,1,980.0,-2.509313896730246,-0.1856542376454098
Eye,40.0,60.0,40.0,positive,4.197053860720958,0.35582208895552225,2,40.0,2.1045562246394556,0.13627838817241728
Mouth,540.0,540.0,20.0,negative,2.461646709404917,0.3938030984507746,1,540.0,-2.461646709404917,-0.23712890169217346
Surface,380.0,380.0,20.0,negative,2.257855278895286,0.4142928535732134,1,380.0,-2.257855278895286,-0.1617365350868573
Skin,80.0,80.0,20.0,positive,2.1168382652857933,0.5327336331834083,1,80.0,2.1168382652857933,0.1306768700100054
Mouth,140.0,140.0,20.0,negative,2.070374451844942,0.5747126436781609,1,140.0,-2.070374451844942,-0.14391424864000543
FSlim,780.0,780.0,20.0,negative,2.1354905193317517,0.5992003998001,1,780.0,-2.1354905193317517,-0.14929453799084139
