contrast,time_ms,mean_beta_uV,sem_beta_uV,ci95_low,ci95_high,t,p_uncorrected,cohen_dz,n_subjects,p_fdr
Eye,0.0,0.03882136023172926,0.0452916098723026,-0.054109347044780945,0.13175206750823948,0.8571424230930214,0.3989105233263906,0.16198469211910296,28,0.6100295843199686
Eye,20.0,0.0666733354904263,0.05915090683608977,-0.05469430023334497,0.18804097121419755,1.12717351358926,0.2695871609449769,0.21301577152686185,28,0.5015594975240322
Eye,40.0,0.1362783881724173,0.06475397833372873,0.003414199363769521,0.2691425769810651,2.1045562246394565,0.044777393530433196,0.39772374218207046,28,0.2508694898769306
Eye,60.0,0.14826607180740656,0.0708560283418316,0.0028815105790445383,0.29365063303576855,2.0924976360815024,0.04592703556813699,0.39544488314729936,28,0.2508694898769306
Eye,80.0,0.0893285197321331,0.06645204633108877,-0.04701981681255657,0.22567685627682277,1.3442553640419928,0.19005235109307367,0.25404038512997934,28,0.47134204657906936
Eye,100.0,0.08168906352498002,0.07016207307025757,-0.06227161910009403,0.22564974615005406,1.164290904619933,0.2544911918691344,0.2200302990970547,28,0.5015594975240322
Eye,120.0,0.09954826826214877,0.07803465465212535,-0.06056561749608222,0.25966215402037973,1.2756930713146621,0.21293052692136916,0.24108332971048438,28,0.47134204657906936
Eye,140.0,0.04382912859337671,0.06783758546409466,-0.09536209942619209,0.1830203566129455,0.6460891597707994,0.5236756158891839,0.1220993743948723,28,0.7027829402169289
Eye,160.0,0.02469821334438698,0.05928338372415762,-0.09694124250105024,0.14633766918982422,0.4166127469934313,0.6802552039803704,0.07873240868314939,28,0.8295795170492323
Eye,180.0,0.016627557002772166,0.05832553739129658,-0.10304656050680205,0.13630167451234637,0.28508193402866705,0.7777567849370263,0.05387542147979821,28,0.8688096700102886
Eye,200.0,0.015451965196912212,0.06201271790587731,-0.11178762181225023,0.14269155220607466,0.2491741326410681,0.8051119015876634,0.047089484865606296,28,0.8688096700102886
Eye,220.0,0.05641123178711536,0.06634039040409392,-0.0797080057192204,0.1925304692934511,0.850330114783801,0.40261952565117926,0.16069728685906753,28,0.6100295843199686
Eye,240.0,-0.002418897372764651,0.07128427300081591,-0.14868214406095037,0.14384434931542106,-0.033933114148992784,0.9731801077871326,-0.006412755803443005,28,0.9748283001270976
Eye,260.0,0.04642953978861258,0.06676637295012056,-0.09056374170514858,0.18342282128237375,0.6954030560159213,0.4927450316290525,0.13141882479803188,28,0.6963222951341482
Eye,280.0,0.03637410275599719,0.08425792488431313,-0.13650887877694007,0.20925708428893441,0.43169948471837094,0.6693876319540774,0.08158353411996701,28,0.8295795170492323
Eye,300.0,-0.02127162274856163,0.08581552325725292,-0.19735053215551676,0.15480728665839352,-0.24787616437173918,0.8061056830186345,-0.04684419191915649,28,0.8688096700102886
Eye,320.0,-0.082492931302676,0.07496648758069173,-0.23631145823407956,0.07132559562872755,-1.1003974437762343,0.280873318613458,-0.20795556996879255,28,0.5015594975240322
Eye,340.0,-0.1402150710296126,0.07375175549353319,-0.29154117359523646,0.011111031536011284,-1.9011760478285447,0.0680020212957806,-0.35928850150764063,28,0.28334175539908585
Eye,360.0,-0.07372171065159848,0.07699087633614081,-0.23169394020865197,0.08425051890545503,-0.9575382715444203,0.34679178351086837,-0.18095772409522656,28,0.5979168681221869
Eye,380.0,-0.09179681090523409,0.0820423963100144,-0.26013390329929115,0.07654028148882297,-1.1188948035886297,0.2730410303192907,-0.2114512423955696,28,0.5015594975240322
Eye,400.0,-0.12297708157379823,0.06699411210982645,-0.26043764522524154,0.014483482077645063,-1.8356401436024168,0.07744855112013797,-0.34690337975563484,28,0.29787904276976146
Eye,420.0,-0.020559548179267813,0.06045576589450078,-0.14460453353879252,0.1034854371802569,-0.3400758864778184,0.7364309477699051,-0.0642683016078672,28,0.8563150555464013
Eye,440.0,0.002275433012351657,0.07144882949067803,-0.14432545570341804,0.14887632172812137,0.031847029945375575,0.9748283001270978,0.006018522945106479,28,0.9748283001270976
Eye,460.0,-0.0810244810574419,0.09027467808139374,-0.2662528204102794,0.10420385829539563,-0.8975327608965645,0.37736864258314345,-0.16961774849039335,28,0.608659100940554
Eye,480.0,-0.050153487300213774,0.08417654058009162,-0.2228694820341868,0.12256250743375927,-0.5958131203134219,0.5562622272692358,-0.1125980960156229,28,0.7131567016272253
Eye,500.0,-0.017821768901126626,0.07924755545850871,-0.18042432154735857,0.1447807837451053,-0.22488730154531375,0.823760294595015,-0.04249970520752084,28,0.8688096700102886
Eye,520.0,-0.06194318930430487,0.09089085922940442,-0.24843582794031058,0.12454944933170084,-0.6815117584922711,0.5013520524965868,-0.1287936163240615,28,0.6963222951341482
Eye,540.0,-0.16332281623681882,0.10213373097341506,-0.3728839222100595,0.046238289736421856,-1.5991075101264147,0.12143486796409535,-0.3022029136750139,28,0.34585715798546784
Eye,560.0,-0.06933070769310044,0.09052754108221786,-0.2550778790675177,0.11641646368131682,-0.7658521027333962,0.4504080870275741,-0.14473244320631828,28,0.6623648338640795
Eye,580.0,0.0968866728861433,0.08164562961860476,-0.07063632150255653,0.26440966727484316,1.1866731059425322,0.24569348954878809,0.224260137560896,28,0.5015594975240322
Eye,600.0,0.0842980888891248,0.09357346728796219,-0.10769880682518568,0.27629498460343527,0.9008759783337575,0.3756201001989498,0.17024955719879534,28,0.608659100940554
Eye,620.0,-0.03296106985817356,0.09273070441580311,-0.22322875899323147,0.15730661927688433,-0.35544936346408645,0.7250149299449147,-0.06717361567158435,28,0.8563150555464013
Eye,640.0,0.017821071042709666,0.0842458395149108,-0.15503711336048492,0.19067925544590425,0.21153651201440624,0.834057283209877,0.03997664314286755,28,0.8688096700102886
