test,group,term,estimate,se,p
construct,all,fslim,0.03188040389218799,0.1676833423587053,0.849213010046797
construct,all,eye,-0.03768915784670622,0.13121460682109165,0.7739339627462373
construct,all,mouth,0.005378420608165423,0.19331154347476226,0.977803678460753
construct,all,skin,1.6466205296528909,0.131828948033642,8.403467198667471e-36
construct,all,alignment_rmse,0.005861282016977904,0.19739919508098622,0.9763122674929575
leave_one_identity_out,exclude_F_1,fslim,0.1447911371398582,0.15595963133182036,0.35320605193048404
leave_one_identity_out,exclude_F_1,skin,1.966585831499554,0.1322842067296744,5.448952249029822e-50
leave_one_identity_out,exclude_F_1,alignment_rmse,-0.1927784466267898,0.18521317829296552,0.2979468995855804
leave_one_identity_out,exclude_F_2,fslim,0.03321886542865056,0.22710223136710997,0.883706085448799
leave_one_identity_out,exclude_F_2,skin,1.713219905145606,0.16905329592117113,3.8954922719443926e-24
leave_one_identity_out,exclude_F_2,alignment_rmse,0.08824505099192939,0.2519677693815535,0.7261709214074682
leave_one_identity_out,exclude_M_1,fslim,-0.060517757773700165,0.13754251005120002,0.6599420921812267
leave_one_identity_out,exclude_M_1,skin,1.2225252844799386,0.1046808989667908,1.6399350555344803e-31
leave_one_identity_out,exclude_M_1,alignment_rmse,0.10624091408691794,0.14790358194302677,0.47256494801968163
leave_one_identity_out,exclude_M_2,fslim,-0.01169524965258037,0.23978594713725448,0.9610996355905657
leave_one_identity_out,exclude_M_2,skin,1.6953528989124769,0.1784616184323719,2.1025741245393107e-21
leave_one_identity_out,exclude_M_2,alignment_rmse,0.021370316039121977,0.33231567154403957,0.9487255590083263
