model,term,estimate,se,p,aic,bic
original_A,Intercept,4.63065953574329,0.08924347653738701,0.0,73076.52551231539,73197.20031903754
original_A,C(Identity)[T.F_2],-0.16930456825756665,0.031213117101310132,5.823160342076388e-08,73076.52551231539,73197.20031903754
original_A,C(Identity)[T.M_1],-0.04266368895717034,0.024871704369055104,0.08628099653983846,73076.52551231539,73197.20031903754
original_A,C(Identity)[T.M_2],-0.13983655242510354,0.02223810203871685,3.212685255158623e-10,73076.52551231539,73197.20031903754
original_A,RatingDimension_Beauty,-0.7685763888893556,0.16020536376853206,1.6070247812697794e-06,73076.52551231539,73197.20031903754
original_A,G_new,0.16880233594272548,0.012007340488218395,6.854929140426701e-45,73076.52551231539,73197.20031903754
original_A,A,0.17485143822194746,0.013314348929299611,2.142980374259879e-39,73076.52551231539,73197.20031903754
original_A,I,-0.026543342644726825,0.017081760729764865,0.12020834650608697,73076.52551231539,73197.20031903754
original_A,RatingDimension_Beauty:G_new,-0.40281668044182006,0.016397851550225294,2.9750265091446596e-133,73076.52551231539,73197.20031903754
original_A,RatingDimension_Beauty:A,-0.2373302844422179,0.018266613201630102,1.3481915665253752e-38,73076.52551231539,73197.20031903754
original_A,RatingDimension_Beauty:I,0.2215656723562276,0.017909017450262587,3.7169047128664923e-35,73076.52551231539,73197.20031903754
original_A,Group Var,0.16542844493721945,0.04343836603363776,0.00013989790161161506,73076.52551231539,73197.20031903754
original_A,Group x RatingDimension_Beauty Cov,-0.26922418587931046,0.07482139428740728,0.00032039680725701105,73076.52551231539,73197.20031903754
original_A,RatingDimension_Beauty Var,0.5527048838721333,0.1441421094533261,0.00012584850691528974,73076.52551231539,73197.20031903754
A2,Intercept,4.636152312787457,0.08930054062049696,0.0,72469.16981876077,72589.84462548292
A2,C(Identity)[T.F_2],-0.15169524899020928,0.030977930149686226,9.736957941896889e-07,72469.16981876077,72589.84462548292
A2,C(Identity)[T.M_1],-0.07581985722278485,0.02693937782720559,0.0048858942331280126,72469.16981876077,72589.84462548292
A2,C(Identity)[T.M_2],-0.14626081160485424,0.021905920280151564,2.4426429755828973e-11,72469.16981876077,72589.84462548292
A2,RatingDimension_Beauty,-0.768576388887243,0.16021695818048756,1.6098115747335645e-06,72469.16981876077,72589.84462548292
A2,G_new,0.1885706709028718,0.011693385717708874,1.6680030012992993e-58,72469.16981876077,72589.84462548292
A2,A2,0.24912954565885556,0.01151301112289234,7.723146164037448e-104,72469.16981876077,72589.84462548292
A2,I,0.040837420054165206,0.015348526151766793,0.0077984488410358845,72469.16981876077,72589.84462548292
A2,RatingDimension_Beauty:G_new,-0.42047870044268637,0.015800956197702002,5.068322213402428e-156,72469.16981876077,72589.84462548292
A2,RatingDimension_Beauty:A2,-0.43705218113303107,0.015350769016064246,2.676495451686666e-178,72469.16981876077,72589.84462548292
A2,RatingDimension_Beauty:I,0.14034013964118333,0.01578720326235322,6.139163556340898e-19,72469.16981876077,72589.84462548292
A2,Group Var,0.16984441187793,0.04455810231911828,0.000137985580604927,72469.16981876077,72589.84462548292
A2,Group x RatingDimension_Beauty Cov,-0.27641047181216144,0.07678763711703035,0.00031861619967879566,72469.16981876077,72589.84462548292
A2,RatingDimension_Beauty Var,0.5677305594129193,0.14804543336826143,0.00012564602449824722,72469.16981876077,72589.84462548292
robust_A_AR,Intercept,4.637565351107586,0.08910089330847899,0.0,72718.93101078621,72839.60581750836
robust_A_AR,C(Identity)[T.F_2],-0.1662318212183195,0.03124355609027854,1.0347369118806894e-07,72718.93101078621,72839.60581750836
robust_A_AR,C(Identity)[T.M_1],-0.07014418622484374,0.025598140394508126,0.006140062631481122,72718.93101078621,72839.60581750836
robust_A_AR,C(Identity)[T.M_2],-0.14305206365514098,0.02204358639073525,8.611626751681783e-11,72718.93101078621,72839.60581750836
robust_A_AR,RatingDimension_Beauty,-0.7685763888880826,0.1598200400339974,1.5167858365677455e-06,72718.93101078621,72839.60581750836
robust_A_AR,G_new,0.17102542026196105,0.011768810904576607,7.586969254054243e-48,72718.93101078621,72839.60581750836
robust_A_AR,AR,0.2338016967719058,0.011976998565610878,7.29533211079095e-85,72718.93101078621,72839.60581750836
robust_A_AR,I,-0.014561857032500158,0.01615787545493672,0.3674694998387733,72718.93101078621,72839.60581750836
robust_A_AR,RatingDimension_Beauty:G_new,-0.39325002932410846,0.016043254478679672,1.1040143710382368e-132,72718.93101078621,72839.60581750836
robust_A_AR,RatingDimension_Beauty:AR,-0.3810444147793575,0.01637491176129431,8.923212557320959e-120,72718.93101078621,72839.60581750836
robust_A_AR,RatingDimension_Beauty:I,0.22184596617465085,0.016486002116153045,2.814782038190903e-41,72718.93101078621,72839.60581750836
robust_A_AR,Group Var,0.16735059307673605,0.043752395044943916,0.00013080021133611566,72718.93101078621,72839.60581750836
robust_A_AR,Group x RatingDimension_Beauty Cov,-0.2720560436810921,0.07526846848514815,0.00030095614273066546,72718.93101078621,72839.60581750836
robust_A_AR,RatingDimension_Beauty Var,0.5587291177119577,0.14500008430217604,0.00011653549743821781,72718.93101078621,72839.60581750836
