analysis,excluded_participant,n_participants,participants,metric,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,n_permutations,cluster_forming_p,seed
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,100.0,100.0,2.776741240632815,0.6706329367063294,100.0,-2.776741240632815,10000,0.05,20260818
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,220.0,220.0,2.1349835184059556,0.8568143185681432,220.0,-2.1349835184059556,10000,0.05,20260818
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,360.0,360.0,2.380425384948392,0.7491250874912508,360.0,2.380425384948392,10000,0.05,20260818
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,420.0,580.0,24.0628655731775,0.042195780421957804,520.0,4.33762085067708,10000,0.05,20260818
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,A,80.0,80.0,2.101397513624218,0.8740125987401259,80.0,2.101397513624218,10000,0.05,20260818
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,A,440.0,580.0,23.101662371051745,0.046795320467953205,580.0,-3.2102947723982402,10000,0.05,20260818
N29,,29,s1;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,A,660.0,680.0,4.449054446230811,0.6028397160283971,660.0,-2.379581514272688,10000,0.05,20260818
N28_unified_primary,,28,s1;s10;s11;s12;s13;s14;s15;s16;s17;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,100.0,100.0,2.9227442292906636,0.6759324067593241,100.0,-2.9227442292906636,10000,0.05,20260819
N28_unified_primary,,28,s1;s10;s11;s12;s13;s14;s15;s16;s17;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,220.0,220.0,2.2815047704937395,0.8029197080291971,220.0,-2.2815047704937395,10000,0.05,20260819
N28_unified_primary,,28,s1;s10;s11;s12;s13;s14;s15;s16;s17;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,360.0,360.0,2.1694271921359296,0.8546145385461453,360.0,2.1694271921359296,10000,0.05,20260819
N28_unified_primary,,28,s1;s10;s11;s12;s13;s14;s15;s16;s17;s19;s2;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s3;s30;s4;s6;s7;s8;s9,G,420.0,540.0,17.90532164408644,0.0766923307669233,520.0,4.092568088687748,10000,0.05,20260819
