model,metric,n_participants,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,n_permutations
original_A,G_new,28,340.0,380.0,7.002110030654834,0.34226577342265774,360.0,2.517055169927948,10000
original_A,G_new,28,420.0,580.0,25.970127912920326,0.030096990300969902,460.0,3.6639696750307005,10000
original_A,A,28,440.0,580.0,22.822353809122337,0.044495550444955505,580.0,-3.381576536105139,10000
original_A,A,28,660.0,680.0,4.593669971849432,0.5600439956004399,660.0,-2.480832853066058,10000
A2,G_new,28,360.0,360.0,2.415909330333552,0.7524247575242475,360.0,2.415909330333552,10000
A2,G_new,28,440.0,560.0,17.964401336129274,0.08199180081991801,460.0,3.017176887310905,10000
A2,A2,28,40.0,80.0,7.270163340504387,0.3431656834316568,80.0,2.5429278882866058,10000
A2,A2,28,580.0,580.0,2.5196635190449435,0.7239276072392761,580.0,-2.5196635190449435,10000
A2,A2,28,900.0,980.0,12.615760344591772,0.15748425157484253,940.0,-2.973565103477378,10000
robust_A_AR,G_new,28,360.0,380.0,4.65460359018479,0.5628437156284372,360.0,2.448692830788517,10000
robust_A_AR,G_new,28,440.0,580.0,21.26575866273756,0.05069493050694931,460.0,3.2457614675771893,10000
robust_A_AR,AR,28,80.0,80.0,2.215140557521297,0.8186181381861813,80.0,2.215140557521297,10000
robust_A_AR,AR,28,480.0,480.0,2.249680551536836,0.8032196780321967,480.0,-2.249680551536836,10000
robust_A_AR,AR,28,520.0,580.0,10.547346740744743,0.18318168183181682,580.0,-3.1128753246895555,10000
robust_A_AR,AR,28,660.0,660.0,2.1150784890160095,0.8673132686731326,660.0,-2.1150784890160095,10000
robust_A_AR,AR,28,900.0,900.0,2.120058190968244,0.8649135086491351,900.0,-2.120058190968244,10000
robust_A_AR,AR,28,940.0,980.0,6.976445281564269,0.3417658234176582,960.0,-2.398321870015089,10000
