model,subj,metric,time_ms,beta_uV
original_A,s1,G_new,0.0,0.2032131113473557
original_A,s1,G_new,20.0,0.01980855649795711
original_A,s1,G_new,40.0,-0.041430852714022456
original_A,s1,G_new,60.0,-0.05389280172272253
original_A,s1,G_new,80.0,0.123492457443025
original_A,s1,G_new,100.0,0.02740008416119924
original_A,s1,G_new,120.0,-0.13502784039701488
original_A,s1,G_new,140.0,0.02338225992601791
original_A,s1,G_new,160.0,0.09767834576921297
original_A,s1,G_new,180.0,0.13993548055804256
original_A,s1,G_new,200.0,0.10011479533252364
original_A,s1,G_new,220.0,0.09696851270494275
original_A,s1,G_new,240.0,0.16513572837752755
original_A,s1,G_new,260.0,0.2391428365160992
original_A,s1,G_new,280.0,0.22762305354748968
original_A,s1,G_new,300.0,0.1382006581726092
original_A,s1,G_new,320.0,0.05206264441075562
original_A,s1,G_new,340.0,0.14660228011768572
original_A,s1,G_new,360.0,0.005492204384843099
original_A,s1,G_new,380.0,-0.011333956259721154
original_A,s1,G_new,400.0,0.18943189620406353
original_A,s1,G_new,420.0,0.130596851164888
original_A,s1,G_new,440.0,0.002082301346685439
original_A,s1,G_new,460.0,0.1749137516138759
original_A,s1,G_new,480.0,0.4964449143525662
original_A,s1,G_new,500.0,0.42676951339911473
original_A,s1,G_new,520.0,0.2951303097907124
original_A,s1,G_new,540.0,0.13489778441630146
original_A,s1,G_new,560.0,0.28190025953871356
original_A,s1,G_new,580.0,0.3932211135184571
original_A,s1,G_new,600.0,0.22885422531192945
original_A,s1,G_new,620.0,0.09679179121700189
original_A,s1,G_new,640.0,0.13301985883128217
original_A,s1,G_new,660.0,0.18031255089310266
original_A,s1,G_new,680.0,0.2066470349079285
original_A,s1,G_new,700.0,0.153936492818353
original_A,s1,G_new,720.0,0.08582131894366275
original_A,s1,G_new,740.0,0.02787455156072767
original_A,s1,G_new,760.0,0.04191079943300097
original_A,s1,G_new,780.0,0.037409027186630944
original_A,s1,G_new,800.0,0.10739595658611334
original_A,s1,G_new,820.0,0.168341920447093
original_A,s1,G_new,840.0,0.25741247654963023
original_A,s1,G_new,860.0,0.09315813605304138
original_A,s1,G_new,880.0,0.08130043042134572
original_A,s1,G_new,900.0,0.10704968505156343
original_A,s1,G_new,920.0,0.035045474046571184
original_A,s1,G_new,940.0,0.056984855656043665
original_A,s1,G_new,960.0,0.15994924474736502
original_A,s1,G_new,980.0,0.14993886375449889
original_A,s1,A,0.0,0.016451072878588394
original_A,s1,A,20.0,-0.16722081403054564
original_A,s1,A,40.0,-0.08410295970024605
original_A,s1,A,60.0,0.1449529420171296
original_A,s1,A,80.0,0.12253116267046885
original_A,s1,A,100.0,0.12669425417030464
original_A,s1,A,120.0,0.04680182142249949
original_A,s1,A,140.0,0.1152938430743436
original_A,s1,A,160.0,0.2053943516610796
original_A,s1,A,180.0,0.26949361419492923
original_A,s1,A,200.0,0.03693289938744595
original_A,s1,A,220.0,-0.10062695678135458
original_A,s1,A,240.0,-0.05191510479848652
original_A,s1,A,260.0,0.17397865496460044
original_A,s1,A,280.0,0.295225449100814
original_A,s1,A,300.0,0.18414817816541873
original_A,s1,A,320.0,0.09895426146253361
original_A,s1,A,340.0,0.17939145284966934
original_A,s1,A,360.0,0.38029487213622176
original_A,s1,A,380.0,0.3851897547560549
original_A,s1,A,400.0,0.23797376542643184
original_A,s1,A,420.0,0.1698568492620102
original_A,s1,A,440.0,0.14233399558398868
original_A,s1,A,460.0,0.11274470866822958
original_A,s1,A,480.0,0.03264621385475794
original_A,s1,A,500.0,-0.06379358301202245
original_A,s1,A,520.0,-0.07299634184303552
original_A,s1,A,540.0,0.007056123160143139
original_A,s1,A,560.0,0.013628905306973407
original_A,s1,A,580.0,-0.04553453243645793
original_A,s1,A,600.0,0.07382571002932825
original_A,s1,A,620.0,-0.1261178775104073
original_A,s1,A,640.0,-0.25017645576531283
original_A,s1,A,660.0,0.08336618858554329
original_A,s1,A,680.0,0.14655548987469216
original_A,s1,A,700.0,-0.006832546410506832
original_A,s1,A,720.0,-0.0443031011666122
original_A,s1,A,740.0,0.08309644781232803
original_A,s1,A,760.0,0.19233727074854778
original_A,s1,A,780.0,0.16097113632623797
original_A,s1,A,800.0,-0.22010877808187201
original_A,s1,A,820.0,-0.4127215109590524
original_A,s1,A,840.0,-0.2721233074723787
original_A,s1,A,860.0,-0.01881449516575643
original_A,s1,A,880.0,-0.00934561245044252
original_A,s1,A,900.0,-0.03259235252998005
original_A,s1,A,920.0,-0.09088389250345867
original_A,s1,A,940.0,0.04569565383623001
original_A,s1,A,960.0,0.1632341441380448
original_A,s1,A,980.0,0.2594465917723814
original_A,s1,I,0.0,-0.21402989575414152
original_A,s1,I,20.0,0.13661466705072117
original_A,s1,I,40.0,0.051603272864139106
original_A,s1,I,60.0,-0.23804551603281682
original_A,s1,I,80.0,-0.30177296720651403
original_A,s1,I,100.0,-0.1577630883173689
original_A,s1,I,120.0,-0.10881973937792186
original_A,s1,I,140.0,-0.358256596871159
original_A,s1,I,160.0,-0.4068401872461802
original_A,s1,I,180.0,-0.4370769897253397
original_A,s1,I,200.0,-0.17718348434649814
original_A,s1,I,220.0,-0.04553131736973267
original_A,s1,I,240.0,-0.17193469956396112
original_A,s1,I,260.0,-0.49990873056727464
original_A,s1,I,280.0,-0.49044145713577375
original_A,s1,I,300.0,-0.2589198882981084
original_A,s1,I,320.0,-0.2995961786785149
original_A,s1,I,340.0,-0.5865383781974298
original_A,s1,I,360.0,-0.6416341525392814
original_A,s1,I,380.0,-0.31763242909107137
original_A,s1,I,400.0,-0.20720271630861264
original_A,s1,I,420.0,-0.4797545404985806
original_A,s1,I,440.0,-0.45652530202793634
original_A,s1,I,460.0,-0.3158076183976436
original_A,s1,I,480.0,-0.42056437650128
original_A,s1,I,500.0,-0.29539282160984115
original_A,s1,I,520.0,-0.49789323264110597
original_A,s1,I,540.0,-0.43026425324311607
original_A,s1,I,560.0,-0.21264433546706143
original_A,s1,I,580.0,-0.36310889870214863
original_A,s1,I,600.0,-0.5380026935979898
original_A,s1,I,620.0,-0.05580558025388696
original_A,s1,I,640.0,0.044663060606987826
original_A,s1,I,660.0,-0.40990572828821464
original_A,s1,I,680.0,-0.5263427729418704
original_A,s1,I,700.0,-0.42483390717909797
original_A,s1,I,720.0,-0.2241792839333732
original_A,s1,I,740.0,-0.3333398295886939
original_A,s1,I,760.0,-0.6493473489486794
original_A,s1,I,780.0,-0.6465460933449612
original_A,s1,I,800.0,-0.2967295905528533
original_A,s1,I,820.0,-0.006783103489179904
original_A,s1,I,840.0,-0.359744340311385
original_A,s1,I,860.0,-0.5700476702963811
original_A,s1,I,880.0,-0.44048615138258107
original_A,s1,I,900.0,-0.3792459309499119
original_A,s1,I,920.0,-0.3106917508768876
original_A,s1,I,940.0,-0.16722719103448894
original_A,s1,I,960.0,-0.4810355417527758
original_A,s1,I,980.0,-0.7682037817396922
A2,s1,G_new,0.0,0.2190787840393364
A2,s1,G_new,20.0,-0.0053516951292561475
A2,s1,G_new,40.0,-0.04653477008047537
A2,s1,G_new,60.0,0.0033924371778141157
A2,s1,G_new,80.0,0.18013180388362113
A2,s1,G_new,100.0,0.0738004937843965
A2,s1,G_new,120.0,-0.1141408917943351
A2,s1,G_new,140.0,0.05665489865659838
A2,s1,G_new,160.0,0.14421240190787146
A2,s1,G_new,180.0,0.21181270416997625
A2,s1,G_new,200.0,0.11737034418370373
A2,s1,G_new,220.0,0.0837558243320357
A2,s1,G_new,240.0,0.16466653979677826
A2,s1,G_new,260.0,0.2802990981280649
A2,s1,G_new,280.0,0.3072835455550358
A2,s1,G_new,300.0,0.19108076175724525
A2,s1,G_new,320.0,0.061150404413316775
A2,s1,G_new,340.0,0.16846818373247996
A2,s1,G_new,360.0,0.1057364201170091
A2,s1,G_new,380.0,0.08699737386853829
A2,s1,G_new,400.0,0.2124609036792289
A2,s1,G_new,420.0,0.14553655900708612
A2,s1,G_new,440.0,0.06374153675379207
A2,s1,G_new,460.0,0.23405902705888113
A2,s1,G_new,480.0,0.5213866735375916
A2,s1,G_new,500.0,0.4214094370508201
A2,s1,G_new,520.0,0.29082650472070737
A2,s1,G_new,540.0,0.15294763297095415
A2,s1,G_new,560.0,0.29849264598088154
A2,s1,G_new,580.0,0.39350333273755406
A2,s1,G_new,600.0,0.24895937423881837
A2,s1,G_new,620.0,0.07796520209787422
A2,s1,G_new,640.0,0.09640733165219428
A2,s1,G_new,660.0,0.1914289757667077
A2,s1,G_new,680.0,0.23789071050937352
A2,s1,G_new,700.0,0.15428214607165497
A2,s1,G_new,720.0,0.08526129953799921
A2,s1,G_new,740.0,0.05778729135903864
A2,s1,G_new,760.0,0.09400237509134425
A2,s1,G_new,780.0,0.07148544294465412
A2,s1,G_new,800.0,0.05638988837301795
A2,s1,G_new,820.0,0.06786023730428796
A2,s1,G_new,840.0,0.1885603527256501
A2,s1,G_new,860.0,0.07915019214950307
A2,s1,G_new,880.0,0.059499741260345546
A2,s1,G_new,900.0,0.08658491464982432
A2,s1,G_new,920.0,0.0011765369918382285
A2,s1,G_new,940.0,0.0518156647636393
A2,s1,G_new,960.0,0.17605398496469246
A2,s1,G_new,980.0,0.18996473935759495
A2,s1,A2,0.0,0.10929727104976197
A2,s1,A2,20.0,-0.024603132487740216
A2,s1,A2,40.0,0.04788948815157214
A2,s1,A2,60.0,0.3044771681363377
A2,s1,A2,80.0,0.3229497655906679
A2,s1,A2,100.0,0.236839777973077
A2,s1,A2,120.0,0.11739170927505263
A2,s1,A2,140.0,0.14407297175032227
A2,s1,A2,160.0,0.15497312267617847
A2,s1,A2,180.0,0.2897046616306366
A2,s1,A2,200.0,0.0988071468139326
A2,s1,A2,220.0,0.0005814487202242605
A2,s1,A2,240.0,0.050962742815100874
A2,s1,A2,260.0,0.1451553317277186
A2,s1,A2,280.0,0.32471154733985363
A2,s1,A2,300.0,0.2280136544946007
A2,s1,A2,320.0,-0.03174225353450896
A2,s1,A2,340.0,-0.014516288496961828
A2,s1,A2,360.0,0.3993570294533941
A2,s1,A2,380.0,0.37893098900132965
A2,s1,A2,400.0,-0.06696632231918224
A2,s1,A2,420.0,-0.05975085309635157
A2,s1,A2,440.0,0.34214842058464334
A2,s1,A2,460.0,0.35326392191340095
A2,s1,A2,480.0,0.1646725683278274
A2,s1,A2,500.0,0.024443117283299162
A2,s1,A2,520.0,0.042571612431864476
A2,s1,A2,540.0,0.1366307634596503
A2,s1,A2,560.0,0.1180715716307296
A2,s1,A2,580.0,0.050236386855825
A2,s1,A2,600.0,0.0826742067999303
A2,s1,A2,620.0,-0.017364313512619724
A2,s1,A2,640.0,-0.028592648892854924
A2,s1,A2,660.0,0.0008762649150062807
A2,s1,A2,680.0,0.09493541908783626
A2,s1,A2,700.0,0.009958929762977242
A2,s1,A2,720.0,0.042216316272289306
A2,s1,A2,740.0,0.15118493587221757
A2,s1,A2,760.0,0.21309036741265613
A2,s1,A2,780.0,0.10235411839977603
A2,s1,A2,800.0,-0.17516096193444175
A2,s1,A2,820.0,-0.3670815322756547
A2,s1,A2,840.0,-0.2627884206372276
A2,s1,A2,860.0,-0.09197909680238558
A2,s1,A2,880.0,-0.1641557830321824
A2,s1,A2,900.0,-0.12899585184956197
A2,s1,A2,920.0,-0.17455533760977884
A2,s1,A2,940.0,-0.08941196401612493
A2,s1,A2,960.0,-0.043473106298274694
A2,s1,A2,980.0,0.04606781039497483
A2,s1,I,0.0,-0.2552509931693024
A2,s1,I,20.0,0.026023756843431944
A2,s1,I,40.0,-0.03339555368137402
