group_type,group,n,pearson,spearman,mean_absolute_difference,mean_difference,sd_difference,loa_low,loa_high
overall,all,64,0.6659522668678608,0.6169871794871794,0.6629844917061044,-2.3592239273284576e-16,0.8238326020527358,-1.6147119000233623,1.6147119000233618
identity,identity=F_1,16,0.6668789617351961,0.5235294117647059,0.7369129728133936,-0.46966070220379097,0.8609277312409748,-2.1570790554361015,1.2177576510285197
identity,identity=F_2,16,0.5539845902389566,0.4441176470588235,0.625965839490233,-0.14970918465499247,0.7440022403919746,-1.6079535758232626,1.3085352065132776
identity,identity=M_1,16,0.9004616855721094,0.823529411764706,0.7214401686089831,0.621273231189683,0.5618817270480744,-0.48001495382454273,1.722561416203909
identity,identity=M_2,16,0.7266300060357539,0.6529411764705881,0.567618985911808,-0.0019033443309003917,0.7544426764308281,-1.4806109901353235,1.4768043014735226
operation,fslim=0,32,-0.19856203141005727,-0.25549853372434017,0.6494537150292495,-0.045014920629244455,0.850405672668047,-1.7118100390586166,1.6217801978001276
operation,fslim=1,32,0.504368998578262,0.5377565982404692,0.6765152683829594,0.045014920629244046,0.8074160264447672,-1.5375204912024996,1.6275503324609877
operation,eye=0,32,0.6830564439991939,0.593841642228739,0.5869754069652262,0.02514920632398082,0.7900655421415883,-1.5233792562735322,1.573677668921494
operation,eye=1,32,0.6477731494040004,0.6228005865102638,0.7389935764469827,-0.025149206323981217,0.8682076563077152,-1.726836212687103,1.6765378000391404
operation,mouth=0,32,0.7720335076300692,0.7137096774193548,0.6608997295759776,0.13114698972878858,0.7913368214814445,-1.4198731803748426,1.6821671598324195
operation,mouth=1,32,0.25956393864578814,0.2690615835777126,0.6650692538362313,-0.13114698972878897,0.847095737026751,-1.7914546343012208,1.529160654843643
operation,skin=0,32,0.7326321791251122,0.6579912023460409,0.6346225836687805,0.02503952477255531,0.7730813567907179,-1.4901999345372519,1.5402789840823623
operation,skin=1,32,0.5910747141915846,0.5817448680351907,0.6913463997434284,-0.02503952477255572,0.883371199347241,-1.7564470754931478,1.7063680259480365
