identity,term,estimate,se,ci_low,ci_high,p
F_1,G_new,-0.033804881862009514,0.03252879728853303,-0.09756132454753424,0.029951560823515216,0.29869806923045206
F_1,A2,0.34737676400948675,0.08908176418324605,0.1727765062103245,0.521977021808649,9.638070299837925e-05
F_1,I,0.3244750893298662,0.06465962718406297,0.19774222004910277,0.45120795861062957,5.215724068465208e-07
F_1,RatingDimension_Beauty:G_new,0.10194592119683432,0.036624254275726596,0.03016238281641019,0.17372945957725844,0.005376541029187846
F_1,RatingDimension_Beauty:A2,-0.4322654044488732,0.11278239213931783,-0.6533188930419361,-0.21121191585581023,0.00012672469563615335
F_1,RatingDimension_Beauty:I,-0.5560447575116104,0.10697951597012843,-0.7657246088130621,-0.3463649062101587,2.0179651720809338e-07
F_2,G_new,-0.09219988216683392,0.0359053082540631,-0.1625742863447976,-0.021825477988870245,0.010232783869348366
F_2,A2,0.151705915897346,0.0525230465001757,0.04876074475700162,0.25465108703769035,0.00387245842482038
F_2,I,0.4518656626722313,0.07506234235349438,0.3047434716593823,0.5989878536850803,1.7455548580951821e-09
F_2,RatingDimension_Beauty:G_new,0.0486207079291725,0.047429557967365144,-0.044341225686863175,0.14158264154520817,0.3053093602147494
F_2,RatingDimension_Beauty:A2,-0.26562693455337966,0.06504016901498044,-0.3931056658227413,-0.138148203284018,4.425857880230427e-05
F_2,RatingDimension_Beauty:I,-0.2805228357918622,0.09008995861784118,-0.4570991546828309,-0.10394651690089352,0.001846896185192278
M_1,G_new,0.5433241766983452,0.06744092226212454,0.4111399690645811,0.6755083843321092,7.8639689837341e-16
M_1,A2,0.058150376725001215,0.02912409292889706,0.0010671545843629754,0.11523359886563946,0.045864125821431956
M_1,I,-1.374777770055844,0.19448235185969476,-1.7559631797008457,-0.9935923604108422,1.5615810800656071e-12
M_1,RatingDimension_Beauty:G_new,-1.0987265354866809,0.11841780589603312,-1.3308254350429058,-0.8666276359304559,1.7205938206854352e-20
M_1,RatingDimension_Beauty:A2,-0.06340057430016362,0.03860268295865968,-0.1390618328991366,0.012260684298809346,0.1005096682875288
M_1,RatingDimension_Beauty:I,2.607309405243935,0.3454024530210656,1.9303205973226465,3.284298213165224,4.3991833774965577e-14
M_2,G_new,0.056105192965898054,0.03895306661938489,-0.020242817608096333,0.13245320353989243,0.14977462013669285
M_2,A2,0.0819575141744805,0.10212265543213286,-0.1182028904724999,0.28211791882146087,0.4222406695416492
M_2,I,0.21983122848278783,0.1041191038403774,0.01575778495564814,0.42390467200992754,0.03474276845455903
M_2,RatingDimension_Beauty:G_new,-0.13669551763475252,0.06874912423811487,-0.27144380114145766,-0.0019472341280473704,0.04677589395075471
M_2,RatingDimension_Beauty:A2,-0.31669832359034583,0.14424369712977128,-0.5994159699646975,-0.033980677215994126,0.02812214468938935
M_2,RatingDimension_Beauty:I,-0.11292637742970346,0.15893010206756408,-0.42442937748212906,0.19857662262272213,0.47736862265489133
