model,term,estimate,se,z,p,aic,bic,llf,n_observations,n_participants
factor,Intercept,3.924565972222563,0.09137276567667632,42.95115665109327,0.0,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,C(Identity)[T.F_2],-0.3227430555555579,0.021178259155786368,-15.239357171969319,1.937673596107351e-52,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,C(Identity)[T.M_1],-0.14461805555555785,0.021178259155786368,-6.828609211538758,8.574178484015295e-12,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,C(Identity)[T.M_2],-0.11284722222222451,0.021178259155786368,-5.328446563625706,9.90563311390956e-08,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,RatingDimension_Beauty,0.3288194444430275,0.16299163208105233,2.017400772326229,0.043653706745253845,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,FSlim,0.3159722222222214,0.02117825915578632,14.919650378151667,2.4555661842094113e-50,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,Eye,0.8416666666666648,0.02117825915578632,39.74201375454908,0.0,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,Mouth,-0.0743055555555554,0.02117825915578632,-3.50857712189501,0.0004505105964227195,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,Skin,0.4430555555555556,0.02117825915578632,20.920300969803936,3.498989916061509e-97,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,RatingDimension_Beauty:FSlim,-0.5159722222222223,0.029950581325565218,-17.227452669901894,1.6527099294916883e-66,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,RatingDimension_Beauty:Eye,-1.2305555555555556,0.029950581325565218,-41.08619936886427,0.0,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,RatingDimension_Beauty:Mouth,0.1527777777777775,0.029950581325565214,5.100995406969596,3.378717631653092e-07,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,RatingDimension_Beauty:Skin,-0.601041666666668,0.029950581325565197,-20.06777965787366,1.4117192489785024e-89,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,Group Var,0.17697469442886538,0.04643669004755012,3.811096231183732,0.0001383518918463888,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,Group x RatingDimension_Beauty Cov,-0.2878488073305666,0.07996590667802357,-3.5996441394651746,0.0003186529628825651,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
factor,RatingDimension_Beauty Var,0.5909493873988876,0.15404378088946202,3.836243073149043,0.00012493076248259492,71560.05842659448,71696.82320754624,-35763.02921329724,23040,30
A2_only,Intercept,4.704226661989263,0.08895402531540007,52.88379750449414,0.0,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,C(Identity)[T.F_2],-0.3378607161924066,0.02209250773782548,-15.292999789876346,8.513652851693243e-53,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,C(Identity)[T.M_1],-0.1916996084231994,0.02312948957961662,-8.28810371120939,1.1506822645596314e-16,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,C(Identity)[T.M_2],-0.11651299001056617,0.02197737825499299,-5.301496323115604,1.1485736191075328e-07,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,RatingDimension_Beauty,-0.7685763888878704,0.1601859749440865,-4.798025477300024,1.6023740099811339e-06,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,A2,0.28482748030360355,0.011347901613464507,25.099572591081525,5.0270460646336576e-139,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,RatingDimension_Beauty:A2,-0.4619233464691877,0.015535253355853708,-29.733879190012324,2.802511073984684e-194,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,Group Var,0.16411438134332423,0.043072942714462506,3.810150201049995,0.00013888238879457352,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,Group x RatingDimension_Beauty Cov,-0.267105678763525,0.0742084199287878,-3.59939854560771,0.0003189540399272295,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
A2_only,RatingDimension_Beauty Var,0.5485382611246326,0.14303089112244713,3.8351034298949807,0.00012551146614518641,73235.23519290576,73323.73005116868,-36606.61759645288,23040,30
factor_plus_A2,Intercept,4.154918347399197,0.0937467676646923,44.32065713732397,0.0,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,C(Identity)[T.F_2],-0.3095316469927114,0.021357869881726763,-14.492627247323883,1.348833301739364e-47,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,C(Identity)[T.M_1],-0.10347322199635903,0.025292463701746024,-4.091069308887292,4.2938877144548314e-05,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,C(Identity)[T.M_2],-0.10964368715739524,0.020887780712135613,-5.249178391349792,1.5277907296972248e-07,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty,-0.2380541757708369,0.16430835195271107,-1.448825777519516,0.14738624307103865,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,FSlim,0.3056821585685336,0.02087057304975093,14.64656278674541,1.417051460596235e-48,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,Eye,0.8529023505555106,0.02087297724536274,40.8615570519532,0.0,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,Mouth,-0.07443485755479608,0.020858064195708206,-3.568636900164107,0.0003588433357241578,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,Skin,-0.047245401625793215,0.04025304890377641,-1.1737098906155357,0.24051124725601336,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,A2,0.29774031266584405,0.020906422938655713,14.241571288377887,5.0576918457675254e-46,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty:FSlim,-0.49213831540888575,0.0295114539433293,-16.67617991149933,1.953164186428685e-62,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty:Eye,-1.2565797135980379,0.029514086770646836,-42.575591898298754,0.0,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty:Mouth,0.15307726783968348,0.029497756639518456,5.1894545646432055,2.1091095732183698e-07,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty:Skin,0.5345963349273379,0.05201386250969956,10.277958781231566,8.85837848187806e-25,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty:A2,-0.6896278881722651,0.026015448364066603,-26.50839910661705,7.75553490003647e-155,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,Group Var,0.18260235294107197,0.04791053754057194,3.811319227767782,0.00013822712232219674,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,Group x RatingDimension_Beauty Cov,-0.29692485898020665,0.08248074570960155,-3.599929370493576,0.0003183036279674964,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
factor_plus_A2,RatingDimension_Beauty Var,0.6094072195192506,0.1588169483694757,3.837167416801829,0.00012446162551505569,70863.86757611437,71016.72233129575,-35412.933788057184,23040,30
