fold,model,n_test,rmse,mae,r2
1,factor,4608,1.4057199209068703,1.0851953294542023,0.15290457683385106
1,A2_only,4608,1.4070571245326056,1.086938226863008,0.15129219613350786
1,factor_plus_A2,4608,1.3904725278938146,1.0711171335602196,0.17118126027337288
2,factor,4608,1.1803380030220292,0.9259290341977587,0.23001741386871455
2,A2_only,4608,1.210656022456591,0.9292695300261526,0.18995404729159127
2,factor_plus_A2,4608,1.1598834046482285,0.9089230217350648,0.25647291711540743
3,factor,4608,1.2385822745424022,0.9507241425690681,0.07168989949688431
3,A2_only,4608,1.2792414930197091,0.9792804981579096,0.009741839488322634
3,factor_plus_A2,4608,1.2255849953967906,0.9397536475140341,0.09107044451724322
4,factor,4608,1.3176466053837095,1.0472013920913514,0.15559821773021176
4,A2_only,4608,1.4020155938886643,1.1127963750865737,0.04400210839092633
4,factor_plus_A2,4608,1.3027841464974406,1.035092599560575,0.17453972783280958
5,factor,4608,1.0902482262971078,0.8367078804675186,0.11278689449498724
5,A2_only,4608,1.099670353832662,0.8477852201641779,0.09738571020803521
5,factor_plus_A2,4608,1.0764289496766406,0.8272072714894393,0.13513582213673203
