model,metric,n_participants,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,n_permutations
A2_LOIO_F_1,G_new,28,440.0,460.0,4.713770196136292,0.5688431156884312,440.0,2.365075259221391,10000
A2_LOIO_F_1,G_new,28,520.0,520.0,2.2399374210113727,0.8128187181281872,520.0,2.2399374210113727,10000
A2_LOIO_F_1,G_new,28,720.0,720.0,2.2160761116673373,0.8229177082291771,720.0,2.2160761116673373,10000
A2_LOIO_F_1,G_new,28,880.0,940.0,9.470186165565677,0.2510748925107489,900.0,2.5679530171643905,10000
A2_LOIO_F_1,G_new,28,980.0,980.0,2.5335976761186068,0.7203279672032796,980.0,2.5335976761186068,10000
A2_LOIO_F_1,A2,28,40.0,80.0,7.632206319518707,0.3253674632536746,80.0,2.649986101218066,10000
A2_LOIO_F_1,A2,28,580.0,580.0,2.406528120194517,0.7533246675332467,580.0,-2.406528120194517,10000
A2_LOIO_F_1,A2,28,940.0,980.0,7.257388011662668,0.3563643635636436,960.0,-2.481535683914215,10000
A2_LOIO_F_1,I,28,340.0,340.0,2.296938087578846,0.791020897910209,340.0,-2.296938087578846,10000
A2_LOIO_F_1,I,28,820.0,840.0,4.48603084882506,0.6221377862213778,840.0,-2.3745766298627355,10000
A2_LOIO_F_1,I,28,880.0,880.0,2.2225194417467384,0.8192180781921807,880.0,-2.2225194417467384,10000
A2_LOIO_F_2,G_new,28,440.0,480.0,7.63122721852724,0.2964703529647035,460.0,2.811321156974097,10000
A2_LOIO_F_2,G_new,28,540.0,560.0,5.078630236759257,0.478952104789521,540.0,2.5484295517679927,10000
A2_LOIO_F_2,G_new,28,760.0,780.0,4.646589897822704,0.5735426457354265,760.0,-2.4942441958768,10000
A2_LOIO_F_2,A2,28,40.0,80.0,7.014710576090872,0.3470652934706529,80.0,2.5096610907819152,10000
A2_LOIO_F_2,A2,28,960.0,960.0,2.2134637506811043,0.8382161783821618,960.0,-2.2134637506811043,10000
A2_LOIO_M_1,G_new,28,0.0,0.0,2.251981354834626,0.8175182481751825,0.0,2.251981354834626,10000
A2_LOIO_M_1,G_new,28,420.0,440.0,4.840245592655667,0.525047495250475,440.0,2.5071042590261245,10000
A2_LOIO_M_1,G_new,28,520.0,540.0,4.4786798593273005,0.6102389761023898,540.0,2.3205103557962103,10000
A2_LOIO_M_1,A2,28,140.0,140.0,2.095620066682579,0.8939106089391061,140.0,-2.095620066682579,10000
A2_LOIO_M_1,A2,28,400.0,500.0,17.78946724090306,0.0695930406959304,480.0,-3.781889520924387,10000
A2_LOIO_M_1,A2,28,560.0,580.0,7.270537619302352,0.3200679932006799,580.0,-3.669509459790078,10000
A2_LOIO_M_1,A2,28,660.0,700.0,8.993810633782374,0.2285771422857714,660.0,-3.823403971805938,10000
A2_LOIO_M_1,A2,28,740.0,980.0,35.790435811175605,0.010998900109989,940.0,-3.3798781644699947,10000
A2_LOIO_M_1,I,28,660.0,680.0,5.347089898809394,0.4324567543245675,680.0,2.707483959919169,10000
A2_LOIO_M_1,I,28,940.0,940.0,2.31561227517493,0.7916208379162084,940.0,2.31561227517493,10000
A2_LOIO_M_2,G_new,28,360.0,360.0,2.1467314276289637,0.8762123787621238,360.0,2.1467314276289637,10000
A2_LOIO_M_2,G_new,28,460.0,480.0,5.695119401552308,0.4350564943505649,460.0,2.9523751719912217,10000
A2_LOIO_M_2,G_new,28,540.0,560.0,4.867370070531743,0.5420457954204579,560.0,2.514749449952673,10000
A2_LOIO_M_2,G_new,28,740.0,800.0,10.434182538192832,0.2101789821017898,780.0,-3.0062216447484005,10000
A2_LOIO_M_2,G_new,28,920.0,920.0,2.280930090636192,0.8169183081691831,920.0,-2.280930090636192,10000
A2_LOIO_M_2,A2,28,40.0,80.0,7.767323418370497,0.3172682731726827,40.0,2.6897920460080167,10000
A2_LOIO_M_2,A2,28,940.0,980.0,7.836419260674289,0.3134686531346865,940.0,-2.929840988803902,10000
A2_LOIO_M_2,I,28,20.0,20.0,2.398646792287881,0.7725227477252274,20.0,-2.398646792287881,10000
A2_LOIO_M_2,I,28,60.0,60.0,2.734861910082747,0.7057294270572942,60.0,-2.734861910082747,10000
A2_LOIO_M_2,I,28,120.0,120.0,2.2264636116357743,0.8423157684231577,120.0,-2.2264636116357743,10000
A2_LOIO_M_2,I,28,900.0,940.0,7.939675342324728,0.3070692930706929,920.0,2.842330653293503,10000
