analysis,n_participants,participants,metric,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,n_permutations,seed
N29_sensitivity,29,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.186459760156009,0.33866613338666135,360.0,2.6781075555933374,10000,20260818
N29_sensitivity,29,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,24.06872079797268,0.047295270472952705,460.0,3.27663787359354,10000,20260818
N29_sensitivity,29,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.605392919646281,0.30816918308169183,80.0,2.7153085542819704,10000,20260818
N29_sensitivity,29,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.5274666555010223,0.6888311168883112,580.0,-2.5274666555010223,10000,20260818
N29_sensitivity,29,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.381938441645776,0.15478452154784522,940.0,-3.170254486181149,10000,20260818
N28_unified_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,360.0,360.0,2.415909330333552,0.7599240075992401,360.0,2.415909330333552,10000,20260819
N28_unified_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,560.0,17.964401336129274,0.08499150084991501,460.0,3.017176887310905,10000,20260819
N28_unified_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.2701633405043875,0.3458654134586541,80.0,2.5429278882866053,10000,20260819
N28_unified_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.519663519044944,0.7326267373262674,580.0,-2.519663519044944,10000,20260819
N28_unified_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,12.615760344591772,0.15528447155284472,940.0,-2.9735651034773793,10000,20260819
LOPO_s1,28,s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.908568872709148,0.37046295370462956,360.0,2.5952938615013816,10000,20260918
LOPO_s1,28,s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,560.0,18.63006927142537,0.08359164083591641,440.0,3.1289937634449974,10000,20260918
LOPO_s1,28,s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.072057600185422,0.35736426357364265,80.0,2.4694556281920046,10000,20260918
LOPO_s1,28,s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.1818774550029847,0.8149185081491851,540.0,-2.1818774550029847,10000,20260918
LOPO_s1,28,s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.5819878157740628,0.6842315768423157,580.0,-2.5819878157740628,10000,20260918
LOPO_s1,28,s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.006089708996667,0.1576842315768423,940.0,-3.0763819755362727,10000,20260918
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,360.0,380.0,4.5187364761655475,0.5876412358764124,360.0,2.4451047225232254,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,440.0,560.0,18.214799716084833,0.0821917808219178,460.0,3.0225600346958483,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,100.0,10.731726143288952,0.19788021197880212,60.0,2.897361511666868,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,540.0,540.0,2.2576147320853885,0.784021597840216,540.0,-2.2576147320853885,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.5238550332776852,0.6999300069993001,580.0,-2.5238550332776852,10000,20260919
LOPO_s2,28,s1;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.922176975199605,0.134986501349865,940.0,-3.3633805336212785,10000,20260919
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,7.391662425690632,0.3204679532046795,360.0,2.862459483338823,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,420.0,580.0,25.614052019708225,0.0380961903809619,540.0,3.3189621927935655,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,40.0,80.0,7.091606691576983,0.3457654234576542,80.0,2.5150868625996026,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,580.0,580.0,2.5547436982763276,0.6826317368263174,580.0,-2.5547436982763276,10000,20260920
LOPO_s3,28,s1;s2;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,A2,900.0,980.0,13.391166172351031,0.1481851814818518,940.0,-3.130544806696407,10000,20260920
LOPO_s4,28,s1;s2;s3;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s18;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,G_new,340.0,380.0,6.9002387109712515,0.3628637136286371,360.0,2.5921612353500882,10000,20260921
