analysis,n_participants,participants,signal,cluster_start_ms,cluster_end_ms,cluster_mass_abs_t,joint_familywise_p,peak_time_ms,peak_t,peak_mean_beta_uV,n_permutations,seed
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,FSlim,780.0,780.0,2.135490519331751,0.9704029597040296,780.0,-2.135490519331751,-0.14929453799084133,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Eye,40.0,60.0,4.197053860720959,0.8424157584241576,40.0,2.1045562246394565,0.1362783881724173,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Eye,680.0,740.0,9.929253525782732,0.3331666833316668,700.0,2.660673459010241,0.21145044543123276,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Eye,940.0,980.0,7.673171547612599,0.45645435456454353,980.0,2.574859484868101,0.1847160812168091,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Mouth,140.0,140.0,2.0703744518449425,0.9814018598140186,140.0,-2.0703744518449425,-0.14391424864000543,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Mouth,300.0,380.0,13.413917704845149,0.21457854214578542,340.0,-3.1398866697837002,-0.2679679727255052,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Mouth,540.0,540.0,2.461646709404917,0.8983101689831017,540.0,-2.461646709404917,-0.23712890169217343,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Skin,80.0,80.0,2.1168382652857933,0.9731026897310269,80.0,2.1168382652857933,0.1306768700100054,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Skin,440.0,580.0,21.26902575461436,0.0807919208079192,580.0,-3.3707118243483376,-0.301085554719117,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Surface_minus_Structural,420.0,580.0,25.553374791607435,0.051294870512948704,520.0,-3.521054485591762,-0.1878613322523073,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Surface_minus_Structural,880.0,900.0,4.8681788921684745,0.7239276072392761,880.0,-2.5190782972377948,-0.16724484812891527,10000,20260828
N28_primary,28,s1;s2;s3;s4;s6;s7;s8;s9;s10;s11;s12;s13;s14;s15;s16;s17;s19;s20;s21;s22;s23;s24;s25;s26;s27;s28;s29;s30,Surface_minus_Structural,980.0,980.0,2.5093138967302457,0.8895110488951105,980.0,-2.5093138967302457,-0.18565423764540975,10000,20260828
