omitted_identity,window,factor,n_participants,mean_beta,se,ci95_low,ci95_high,t,p_uncorrected,p_maxT_familywise,cohen_dz,n_permutations,seed,p_BH
F_1,MiddleLate_350_600,FSlim,28,-0.07603373768207645,0.0957745130557557,-0.2725468062709153,0.1204793309067624,-0.7938827904853238,0.434185896720936,0.9747025297470253,-0.15002974526844015,10000,20262028,0.4962124533953554
F_1,MiddleLate_350_600,Eye,28,-0.0024198894229568247,0.0929937659489292,-0.1932273362393948,0.18838755739348118,-0.026022060707658785,0.9794311224052316,1.0,-0.004917707230992138,10000,20262028,0.9794311224052316
F_1,MiddleLate_350_600,Mouth,28,-0.2426696364540801,0.08300879890287398,-0.412989623179372,-0.07234964972878821,-2.9234206452983424,0.006926286144680988,0.0435956404359564,-0.5524745717922412,10000,20262028,0.02770514457872395
F_1,MiddleLate_350_600,Skin,28,-0.2704584958909505,0.08995617544465245,-0.4550333218141427,-0.08588366996775829,-3.0065584108492494,0.005654036553466414,0.035596440355964404,-0.568186132664048,10000,20262028,0.02770514457872395
F_1,Late_600_1000,FSlim,28,0.10592046197581977,0.1004420386920602,-0.1001695781500427,0.31201050210168224,1.0545431310942974,0.3009800294703734,0.8942105789421058,0.19928991940477833,10000,20262028,0.40130670596049783
F_1,Late_600_1000,Eye,28,0.15350989656219483,0.09837810674500838,-0.04834530501076817,0.3553650981351578,1.5604071031788158,0.13030968511153562,0.5931406859314069,0.29488922421641794,10000,20262028,0.26061937022307125
F_1,Late_600_1000,Mouth,28,-0.11504696063163909,0.09631093762780774,-0.31266068152720417,0.082566760263926,-1.1945368144606423,0.24265659556829428,0.8251174882511749,-0.2257462387838689,10000,20262028,0.38825055290927085
F_1,Late_600_1000,Skin,28,-0.21479670521406388,0.09468291521748767,-0.4090700000466205,-0.02052341038150729,-2.2685899005187324,0.03150086822684547,0.18938106189381063,-0.42872319311180884,10000,20262028,0.08400231527158791
F_2,MiddleLate_350_600,FSlim,28,0.13896269609158315,0.09614048775309701,-0.05830129054952024,0.3362266827326865,1.4454128467546357,0.15984973867186408,0.6594340565943405,0.2731573524521914,10000,20262029,0.3341234006832101
F_2,MiddleLate_350_600,Eye,28,0.06870992652582993,0.089444990977085,-0.11481603550725665,0.2522358885589165,0.7681808201359515,0.4490467148049002,0.9757024297570243,0.14517252942924042,10000,20262029,0.5639874822034427
F_2,MiddleLate_350_600,Mouth,28,-0.19725740954640197,0.08706261916246116,-0.3758951483886409,-0.018619670704163066,-2.2656957882040563,0.03170034763926462,0.18088191180881913,-0.4281762572938858,10000,20262029,0.12680139055705847
