subj,n_valid_trials,n_factorial_cells,min_trials_per_cell,max_trials_per_cell,n_identities,design_columns,design_rank
s1,360,16,20,24,4,9,9
s2,363,16,21,24,4,9,9
s3,346,16,20,24,4,9,9
s4,373,16,22,24,4,9,9
s6,380,16,23,24,4,9,9
s7,196,16,8,15,4,9,9
s8,360,16,20,24,4,9,9
s9,248,16,11,21,4,9,9
s10,382,16,23,24,4,9,9
s11,304,16,14,21,4,9,9
s12,374,16,21,24,4,9,9
s13,325,16,18,22,4,9,9
s14,368,16,21,24,4,9,9
s15,314,16,17,22,4,9,9
s16,378,16,21,24,4,9,9
s17,367,16,20,24,4,9,9
s19,374,16,22,24,4,9,9
s20,361,16,21,24,4,9,9
s21,215,16,9,18,4,9,9
s22,380,16,23,24,4,9,9
s23,377,16,22,24,4,9,9
s24,376,16,21,24,4,9,9
s25,382,16,23,24,4,9,9
s26,379,16,22,24,4,9,9
s27,308,16,13,24,4,9,9
s28,384,16,24,24,4,9,9
s29,323,16,18,22,4,9,9
s30,329,16,18,24,4,9,9
