subj,window,factor,beta_uV
s1,MiddleLate_350_600,FSlim,-0.08281712330553945
s1,MiddleLate_350_600,Eye,-0.1680483958531675
s1,MiddleLate_350_600,Mouth,-0.06606294083814129
s1,MiddleLate_350_600,Skin,0.07369665977634104
s1,Late_600_1000,FSlim,-0.19989715316107742
s1,Late_600_1000,Eye,0.1101620083119624
s1,Late_600_1000,Mouth,0.5724198454255367
s1,Late_600_1000,Skin,-0.11415613322678422
s2,MiddleLate_350_600,FSlim,0.30067007315645466
s2,MiddleLate_350_600,Eye,-0.7264131462511881
s2,MiddleLate_350_600,Mouth,0.013525378164610968
s2,MiddleLate_350_600,Skin,0.2991517844375613
s2,Late_600_1000,FSlim,0.24033110191103993
s2,Late_600_1000,Eye,-0.4827155369142562
s2,Late_600_1000,Mouth,0.261350325624483
s2,Late_600_1000,Skin,0.1707300063482723
s3,MiddleLate_350_600,FSlim,-0.05536930916625743
s3,MiddleLate_350_600,Eye,0.5956252122355314
s3,MiddleLate_350_600,Mouth,-0.07629872270891702
s3,MiddleLate_350_600,Skin,-0.3840945742866835
s3,Late_600_1000,FSlim,-0.29630674270852564
s3,Late_600_1000,Eye,0.6488510228670438
s3,Late_600_1000,Mouth,-0.14982266852316237
s3,Late_600_1000,Skin,-0.47283797201267663
s4,MiddleLate_350_600,FSlim,0.7373745399575389
s4,MiddleLate_350_600,Eye,0.5154548611645813
s4,MiddleLate_350_600,Mouth,-0.08732470953081128
s4,MiddleLate_350_600,Skin,0.003792527375605273
s4,Late_600_1000,FSlim,0.6362913103747918
s4,Late_600_1000,Eye,0.6433875156931548
s4,Late_600_1000,Mouth,0.15836356352853237
s4,Late_600_1000,Skin,0.36330118460999306
s6,MiddleLate_350_600,FSlim,0.9323612986595835
s6,MiddleLate_350_600,Eye,-0.786499327509479
s6,MiddleLate_350_600,Mouth,-0.08252614245959883
s6,MiddleLate_350_600,Skin,-0.12541892177752675
s6,Late_600_1000,FSlim,0.5514830925343155
s6,Late_600_1000,Eye,-0.37853857629673626
s6,Late_600_1000,Mouth,-0.2886291324974123
s6,Late_600_1000,Skin,-0.0837046688327236
s7,MiddleLate_350_600,FSlim,-0.06083253935566559
s7,MiddleLate_350_600,Eye,-0.4400798913638736
s7,MiddleLate_350_600,Mouth,-0.5602045416039086
s7,MiddleLate_350_600,Skin,-0.16981717513098532
s7,Late_600_1000,FSlim,0.5156807723773769
s7,Late_600_1000,Eye,0.1270325012714367
s7,Late_600_1000,Mouth,-0.09401411766721135
s7,Late_600_1000,Skin,0.26691462227379775
s8,MiddleLate_350_600,FSlim,0.03941342994982833
s8,MiddleLate_350_600,Eye,-0.1036001038033162
s8,MiddleLate_350_600,Mouth,0.33195653697975136
s8,MiddleLate_350_600,Skin,-0.018866454911484976
s8,Late_600_1000,FSlim,0.25109093188025894
s8,Late_600_1000,Eye,-0.2312605073199569
s8,Late_600_1000,Mouth,0.23614618077258076
s8,Late_600_1000,Skin,-0.05279954688079862
s9,MiddleLate_350_600,FSlim,-0.1914082634518802
s9,MiddleLate_350_600,Eye,0.37628821935635437
s9,MiddleLate_350_600,Mouth,-0.49295196229764027
s9,MiddleLate_350_600,Skin,-0.08665933362487611
s9,Late_600_1000,FSlim,0.1856145758386082
s9,Late_600_1000,Eye,0.275816424759979
s9,Late_600_1000,Mouth,-0.5238336209153218
s9,Late_600_1000,Skin,-0.29821358714758384
s10,MiddleLate_350_600,FSlim,-0.41116939713320055
s10,MiddleLate_350_600,Eye,-0.4454128039792745
s10,MiddleLate_350_600,Mouth,0.09518294252567264
s10,MiddleLate_350_600,Skin,-0.29245309166621514
s10,Late_600_1000,FSlim,0.003583504334784632
s10,Late_600_1000,Eye,-0.2139241917967326
s10,Late_600_1000,Mouth,0.0375712656199189
s10,Late_600_1000,Skin,0.13804411430849478
s11,MiddleLate_350_600,FSlim,-0.3654113899238617
s11,MiddleLate_350_600,Eye,-0.8075703032809602
s11,MiddleLate_350_600,Mouth,0.03306791010690187
s11,MiddleLate_350_600,Skin,-0.6262793734687409
s11,Late_600_1000,FSlim,-1.0630657366540515
s11,Late_600_1000,Eye,-0.1623330625347162
s11,Late_600_1000,Mouth,0.04240929613829403
s11,Late_600_1000,Skin,-0.8230643775925093
s12,MiddleLate_350_600,FSlim,-0.2580673835427197
s12,MiddleLate_350_600,Eye,-0.025880769157960754
s12,MiddleLate_350_600,Mouth,0.14091281773782033
s12,MiddleLate_350_600,Skin,-0.25323172412886785
s12,Late_600_1000,FSlim,0.15796597598445647
s12,Late_600_1000,Eye,0.4113369288798788
s12,Late_600_1000,Mouth,0.35430929671521294
s12,Late_600_1000,Skin,-0.06576385605170287
s13,MiddleLate_350_600,FSlim,-0.40827536979316925
s13,MiddleLate_350_600,Eye,0.27773482034092456
s13,MiddleLate_350_600,Mouth,0.37159633446336876
