model,term,estimate,se,z,p,aic,bic,llf,n
factor,Intercept,3.924565972222333,0.09137276567667584,42.95115665109098,0.0,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,C(Identity)[T.F_2],-0.32274305555555494,0.02117825915578635,-15.239357171969193,1.9376735961111673e-52,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,C(Identity)[T.M_1],-0.14461805555555482,0.02117825915578635,-6.828609211538621,8.574178484023471e-12,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,C(Identity)[T.M_2],-0.11284722222222145,0.02117825915578635,-5.328446563625565,9.905633113917195e-08,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,RatingDimension_Beauty,0.3288194444445225,0.16299163208103576,2.017400772335606,0.043653706744276086,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,FSlim,0.31597222222222265,0.02117825915578636,14.9196503781517,2.4555661842082206e-50,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,Eye,0.8416666666666677,0.02117825915578636,39.742013754549134,0.0,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,Mouth,-0.07430555555555592,0.02117825915578636,-3.5085771218950272,0.0004505105964226901,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,Skin,0.4430555555555553,0.021178259155786357,20.920300969803883,3.498989916065397e-97,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,RatingDimension_Beauty:FSlim,-0.515972222222222,0.02995058132556523,-17.227452669901876,1.6527099294922067e-66,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,RatingDimension_Beauty:Eye,-1.2305555555555556,0.029950581325565225,-41.08619936886426,0.0,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,RatingDimension_Beauty:Mouth,0.15277777777777835,0.02995058132556523,5.100995406969621,3.3787176316526564e-07,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,RatingDimension_Beauty:Skin,-0.6010416666666649,0.029950581325565218,-20.067779657873544,1.4117192489818801e-89,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,Group Var,0.1769746944288393,0.04643669004759303,3.8110962311796492,0.0001383518918486743,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,Group x RatingDimension_Beauty Cov,-0.2878488073304652,0.0799659066780821,-3.599644139461272,0.0003186529628873474,71560.05842659448,71696.82320754624,-35763.02921329724,23040
factor,RatingDimension_Beauty Var,0.5909493873986017,0.15404378088950937,3.8362430731460075,0.00012493076248413818,71560.05842659448,71696.82320754624,-35763.02921329724,23040
information,Intercept,4.647665675434427,0.08924034817731416,52.0803175958015,0.0,73671.71719780855,73792.3920045307,-36820.85859890428,23040
information,C(Identity)[T.F_2],-0.1877998419923513,0.03082953214913132,-6.091556663393703,1.1181799244410084e-09,73671.71719780855,73792.3920045307,-36820.85859890428,23040
information,C(Identity)[T.M_1],-0.08002971928735299,0.024278374622441885,-3.296337606281804,0.000979542262350101,73671.71719780855,73792.3920045307,-36820.85859890428,23040
information,C(Identity)[T.M_2],-0.1519998071235926,0.023121145775554144,-6.574060325518173,4.8961379487706315e-11,73671.71719780855,73792.3920045307,-36820.85859890428,23040
information,RatingDimension_Beauty,-0.7685763888889792,0.16021596995105833,-4.797127209751678,1.6095738819410371e-06,73671.71719780855,73792.3920045307,-36820.85859890428,23040
information,G,-0.014771572417467977,0.012337384586385896,-1.1973017712172294,0.23118895431839948,73671.71719780855,73792.3920045307,-36820.85859890428,23040
