fold,model,n,rmse,mae,r2
1,factor,4608,1.0810810556292827,0.8426759743396182,0.09128827514090987
1,information,4608,1.102187318876934,0.8518541979336967,0.05545981921664478
1,combined,4608,1.0855593125797085,0.8383144153769793,0.08374420953115802
2,factor,4608,1.2577887205887992,0.9634355380211355,0.1339591282390129
2,information,4608,1.301081772701887,1.004876417727967,0.07331489526457957
2,combined,4608,1.2391084851325604,0.9423571067154476,0.15949237287400897
3,factor,4608,1.2042356902250433,0.9094574539749707,0.24320365663395938
3,information,4608,1.2399308491734544,0.9463487463528318,0.1976738138365347
3,combined,4608,1.1948674594134652,0.9085735354153116,0.2549326985792282
4,factor,4608,1.4232520583664812,1.1507119072808187,0.12622791969013059
4,information,4608,1.4926844930835874,1.1986938370138824,0.03889560184287122
4,combined,4608,1.4002897087380535,1.1244760929909872,0.15419486699360352
5,factor,4608,1.2478232657585362,0.9623972574869799,0.16860811872529835
5,information,4608,1.3093370705536689,1.0071356322836955,0.08461761783491628
5,combined,4608,1.2269600527858804,0.9441589964031185,0.19617692698576794
