subj,metric,time_ms,beta_uV
s1,G,0.0,0.10457457649364502
s1,G,20.0,0.04988111915723256
s1,G,40.0,0.025865940425663494
s1,G,60.0,0.06262446857815639
s1,G,80.0,0.08890615772759625
s1,G,100.0,0.01373142996828261
s1,G,120.0,-0.11705219540477724
s1,G,140.0,-0.07678671988411333
s1,G,160.0,-0.15981317449514837
s1,G,180.0,-0.03955354849278477
s1,G,200.0,-0.00022463835267760857
s1,G,220.0,0.08575210546605284
s1,G,240.0,-0.05429945942195182
s1,G,260.0,-0.07335816598241282
s1,G,280.0,0.017215495182687696
s1,G,300.0,0.16038382154383007
s1,G,320.0,-0.03042781709680647
s1,G,340.0,-0.0479839454861704
s1,G,360.0,0.029460331098817558
s1,G,380.0,0.07584174544858241
s1,G,400.0,0.3081078143262961
s1,G,420.0,0.23470828213553543
s1,G,440.0,0.09535471011215829
s1,G,460.0,0.1561051545327498
s1,G,480.0,0.34433851196874554
s1,G,500.0,0.2799535061469074
s1,G,520.0,0.212210916902328
s1,G,540.0,0.1649370702604871
s1,G,560.0,0.333328650883814
s1,G,580.0,0.5291602261700123
s1,G,600.0,0.3719348080994235
s1,G,620.0,0.09236255202369124
s1,G,640.0,0.23457607017963283
s1,G,660.0,0.4175776334321274
s1,G,680.0,0.3851351242215629
s1,G,700.0,0.21299624755405488
s1,G,720.0,0.08767588070950916
s1,G,740.0,0.053395817217040495
s1,G,760.0,0.10164173398850385
s1,G,780.0,0.14454776001673408
s1,G,800.0,0.24160718126538303
s1,G,820.0,0.2452783038141493
s1,G,840.0,0.4085372246002693
s1,G,860.0,0.3653456760369052
s1,G,880.0,0.23378991099787705
s1,G,900.0,0.23795928807307004
s1,G,920.0,0.2537944586634347
s1,G,940.0,0.29449393661351925
s1,G,960.0,0.24783893017339792
s1,G,980.0,0.20275552056530488
s1,A,0.0,0.02467654940406855
s1,A,20.0,-0.1755068218949034
s1,A,40.0,-0.09658490028025768
s1,A,60.0,0.12208100060726852
s1,A,80.0,0.12172360492159492
s1,A,100.0,0.12788777988811986
s1,A,120.0,0.0522281598986151
s1,A,140.0,0.13657848272828949
s1,A,160.0,0.25745277029389724
s1,A,180.0,0.3007043983419362
s1,A,200.0,0.052833852170592305
s1,A,220.0,-0.10491138370928121
s1,A,240.0,-0.013338208956958919
s1,A,260.0,0.22863600310055054
s1,A,280.0,0.3273191605919965
s1,A,300.0,0.1693018991261746
s1,A,320.0,0.11416395302576357
s1,A,340.0,0.21358810503027972
s1,A,360.0,0.37441842333251985
s1,A,380.0,0.3660289069235827
s1,A,400.0,0.19741167784753572
s1,A,420.0,0.13678768866634347
s1,A,440.0,0.12082896850897201
s1,A,460.0,0.10469034990205422
s1,A,480.0,0.03239216026370663
s1,A,500.0,-0.06033506373569068
s1,A,520.0,-0.0748661181561502
s1,A,540.0,-0.009355665239064961
s1,A,560.0,-0.018069363566246926
s1,A,580.0,-0.10445147484284933
s1,A,600.0,0.02488935845296112
s1,A,620.0,-0.13194396695154995
s1,A,640.0,-0.2828317473692594
s1,A,660.0,0.016293571886815295
s1,A,680.0,0.09108078388046703
s1,A,700.0,-0.03123502478792571
s1,A,720.0,-0.05079279166029267
s1,A,740.0,0.07528258620283866
s1,A,760.0,0.17569800228182725
s1,A,780.0,0.13379439233838344
s1,A,800.0,-0.2584306874176435
s1,A,820.0,-0.4422354847428673
s1,A,840.0,-0.3249198652241834
s1,A,860.0,-0.08772455235607096
s1,A,880.0,-0.05000876521065499
s1,A,900.0,-0.07013377286864904
s1,A,920.0,-0.1434505421730467
s1,A,940.0,-0.012717218478301817
s1,A,960.0,0.13180515534002807
s1,A,980.0,0.23675619564071165
s1,I,0.0,-0.15252266175047802
s1,I,20.0,0.12903661833325847
s1,I,40.0,0.0229249486992387
s1,I,60.0,-0.2852608797184747
s1,I,80.0,-0.2730671905388717
s1,I,100.0,-0.1493436728566577
s1,I,120.0,-0.1334209505604037
s1,I,140.0,-0.3208021991856215
s1,I,160.0,-0.30542619198931503
s1,I,180.0,-0.35656571525270114
s1,I,200.0,-0.12918427321159945
s1,I,220.0,-0.028443151244222926
s1,I,240.0,-0.07431744827211736
s1,I,260.0,-0.3603478874609942
s1,I,280.0,-0.38737203541797904
s1,I,300.0,-0.24761982759991347
s1,I,320.0,-0.26426847633828743
s1,I,340.0,-0.4999525886231058
s1,I,360.0,-0.6490809353939708
s1,I,380.0,-0.3489964213806067
s1,I,400.0,-0.22190282171324807
s1,I,420.0,-0.4975140171501823
s1,I,440.0,-0.4881409266396685
s1,I,460.0,-0.28547059079784526
s1,I,480.0,-0.3006965324874181
s1,I,500.0,-0.18685641695314267
s1,I,520.0,-0.42920041812253196
s1,I,540.0,-0.42210245499784593
s1,I,560.0,-0.19170801516500544
s1,I,580.0,-0.3558627149653848
s1,I,600.0,-0.5556618821534128
s1,I,620.0,-0.041062852232662456
s1,I,640.0,0.028108633476355338
s1,I,660.0,-0.4664109228664577
s1,I,680.0,-0.5591466279988442
s1,I,700.0,-0.4239955398392361
s1,I,720.0,-0.21308494576209935
s1,I,740.0,-0.33825895927572547
s1,I,760.0,-0.6640483259442178
s1,I,780.0,-0.6780762900822984
s1,I,800.0,-0.3279542398586747
s1,I,820.0,-0.010090049174003884
s1,I,840.0,-0.37625185970488606
s1,I,860.0,-0.6504075368475076
s1,I,880.0,-0.4815284659621428
s1,I,900.0,-0.4093887116049098
s1,I,920.0,-0.3807169028413545
s1,I,940.0,-0.2406701972770493
s1,I,960.0,-0.48923560845860337
s1,I,980.0,-0.7657765345535583
s2,G,0.0,-0.1505760732634557
s2,G,20.0,-0.02511772491776071
s2,G,40.0,-0.04049053762987168
s2,G,60.0,0.003166819419922957
s2,G,80.0,0.02605190317314291
s2,G,100.0,0.14990341402960164
s2,G,120.0,0.12490253916614066
s2,G,140.0,0.06389358823189405
s2,G,160.0,0.14683050350445823
s2,G,180.0,0.03743506724025435
s2,G,200.0,-0.041037714804340014
s2,G,220.0,0.019160446232609055
s2,G,240.0,-0.007340011531435958
s2,G,260.0,0.003499915894086311
s2,G,280.0,0.027981463498840564
s2,G,300.0,0.15329111302548082
s2,G,320.0,0.0880113392683663
s2,G,340.0,0.16052175495587076
s2,G,360.0,0.25141289211465045
s2,G,380.0,0.2487842852996926
s2,G,400.0,0.1761587021182941
s2,G,420.0,0.19670742921812004
s2,G,440.0,0.24426059416664123
s2,G,460.0,0.3483799540779236
s2,G,480.0,0.39100556139116854
s2,G,500.0,0.26058922657749617
s2,G,520.0,0.34459006471204523
s2,G,540.0,0.2775040454684833
s2,G,560.0,0.0978879709580798
s2,G,580.0,0.24930097076026433
s2,G,600.0,0.13073646206703857
s2,G,620.0,0.11823623311312173
s2,G,640.0,0.09781577831165647
s2,G,660.0,0.053411324979501185
s2,G,680.0,0.01360715453058553
s2,G,700.0,0.2816921412580146
s2,G,720.0,0.3584914205092442
s2,G,740.0,0.32635623503100447
s2,G,760.0,0.30017314949594254
s2,G,780.0,0.2770230403546367
s2,G,800.0,0.3285392935931726
s2,G,820.0,0.40210012807571305
s2,G,840.0,0.3967430586881257
s2,G,860.0,0.38052329617462033
s2,G,880.0,0.38841211679675836
s2,G,900.0,0.5418911696356529
s2,G,920.0,0.49708519014834607
s2,G,940.0,0.42245759125882676
s2,G,960.0,0.4970021429753344
s2,G,980.0,0.4093065237248843
s2,A,0.0,-0.05340131038135562
s2,A,20.0,-0.09035587306663
s2,A,40.0,-0.14076137067881692
s2,A,60.0,-0.21468330396264879
s2,A,80.0,-0.0872168581963101
s2,A,100.0,-0.11746557644396736
s2,A,120.0,-0.35648012193296597
s2,A,140.0,-0.25048061433432467
s2,A,160.0,-0.059414370306065625
s2,A,180.0,0.011297214768432068
s2,A,200.0,-0.1007814248377753
s2,A,220.0,-0.007153616596242474
s2,A,240.0,0.15553864324477934
s2,A,260.0,0.20965305956204575
s2,A,280.0,0.3893349154422485
s2,A,300.0,0.17909408556306905
s2,A,320.0,0.24928100705542838
s2,A,340.0,0.46285131306381105
s2,A,360.0,0.3758460921957307
s2,A,380.0,0.3964627235291706
s2,A,400.0,0.3998502883483782
s2,A,420.0,0.34902047573856454
s2,A,440.0,0.32276740289816325
s2,A,460.0,0.2102218040719772
s2,A,480.0,0.27612084873207204
s2,A,500.0,0.23703335584241852
s2,A,520.0,0.05420041080216384
s2,A,540.0,0.29210286901620136
s2,A,560.0,0.2561033197604278
s2,A,580.0,0.06099910684444941
s2,A,600.0,0.16173881182898533
s2,A,620.0,0.4700769124735532
s2,A,640.0,0.306323383425677
s2,A,660.0,0.10753951214852876
s2,A,680.0,0.14172193640452496
s2,A,700.0,0.07230862328137098
s2,A,720.0,-0.028629875251871367
s2,A,740.0,0.04335026654627711
s2,A,760.0,0.14621402221565735
s2,A,780.0,0.03189474799492286
s2,A,800.0,-0.05112814822794463
s2,A,820.0,0.0066184964200416
s2,A,840.0,0.1883994645589248
s2,A,860.0,0.4084183942728874
s2,A,880.0,0.29162965874908275
s2,A,900.0,0.2707797267429227
s2,A,920.0,0.3222307932610904
s2,A,940.0,0.42649191403993875
s2,A,960.0,0.22238978122345252
s2,A,980.0,0.3206948905608978
s2,I,0.0,0.00727790534097077
s2,I,20.0,0.3535477233868285
s2,I,40.0,0.29210469345451595
s2,I,60.0,0.3971721375364325
s2,I,80.0,0.21044218490402142
s2,I,100.0,0.13832406365676267
s2,I,120.0,0.4061605778925047
s2,I,140.0,0.23811100353069295
s2,I,160.0,0.03691411027620112
s2,I,180.0,0.1538171020249933
s2,I,200.0,0.3930578695612733
s2,I,220.0,0.2693117223136278
s2,I,240.0,0.25503639304387976
s2,I,260.0,0.37236229488102407
s2,I,280.0,-0.0970998659252649
s2,I,300.0,-0.1263867696653802
s2,I,320.0,0.1455649384605775
s2,I,340.0,-0.2919356761805876
s2,I,360.0,-0.3097320303420477
s2,I,380.0,-0.1851754703619615
s2,I,400.0,-0.2236133463821401
s2,I,420.0,-0.1718929912098395
s2,I,440.0,-0.15692269785463417
s2,I,460.0,-0.2247163729003922
s2,I,480.0,-0.42238254141030895
s2,I,500.0,-0.21196812075850863
s2,I,520.0,-0.0032405806512577073
s2,I,540.0,-0.24958805379312132
s2,I,560.0,-0.09983292556606793
s2,I,580.0,-0.17353722271106825
s2,I,600.0,-0.28662420912995185
s2,I,620.0,-0.3389491045892094
s2,I,640.0,-0.3150680854904823
s2,I,660.0,-0.17283047763580744
s2,I,680.0,-0.07741251012835507
s2,I,700.0,-0.016190746116181723
s2,I,720.0,0.02898972143270931
s2,I,740.0,-0.08818770053805403
s2,I,760.0,-0.2005375563736515
s2,I,780.0,-0.08977675333796376
s2,I,800.0,-0.1695562440964602
s2,I,820.0,-0.3985226426109624
s2,I,840.0,-0.5029150323965494
s2,I,860.0,-0.642615534831201
s2,I,880.0,-0.5208756017036715
s2,I,900.0,-0.6058246522135197
s2,I,920.0,-0.4813551829374684
s2,I,940.0,-0.5659808849249944
s2,I,960.0,-0.4762792915307604
s2,I,980.0,-0.40541449224468695
s3,G,0.0,-0.15329186499356187
s3,G,20.0,-0.24795441869286267
s3,G,40.0,-0.15339272622038513
s3,G,60.0,-0.23914779099216213
s3,G,80.0,-0.1882751094529154
s3,G,100.0,-0.16782624975588012
s3,G,120.0,-0.11942252083771357
s3,G,140.0,-0.1810163381770954
s3,G,160.0,-0.10242680199844406
s3,G,180.0,-0.005861500369268836
s3,G,200.0,0.13676552500475572
s3,G,220.0,-0.040052625737053316
s3,G,240.0,-0.07726091193318779
s3,G,260.0,-0.1493329616504383
s3,G,280.0,-0.22087250461028074
s3,G,300.0,-0.11433214973147193
s3,G,320.0,-0.08861107451603947
s3,G,340.0,-0.07650002330939798
s3,G,360.0,-0.006986467103730298
s3,G,380.0,0.12056492388207221
s3,G,400.0,0.11217208136191442
s3,G,420.0,0.10141792636715172
s3,G,440.0,0.1147150054856719
s3,G,460.0,0.20327533663688557
s3,G,480.0,0.18289063515040013
s3,G,500.0,0.19011509626224235
s3,G,520.0,0.05251538795658258
s3,G,540.0,0.08613724899100607
s3,G,560.0,-0.07990082316846614
s3,G,580.0,-0.07645594281707746
s3,G,600.0,-0.22545323991463936
s3,G,620.0,-0.32188160347818623
s3,G,640.0,-0.16460137796586505
s3,G,660.0,-0.12498692214510615
s3,G,680.0,-0.17269811306310057
s3,G,700.0,-0.11822065559836256
s3,G,720.0,-0.06709099150572126
s3,G,740.0,-0.13752319321581022
s3,G,760.0,-0.14754108177200187
s3,G,780.0,-0.2511832812189202
s3,G,800.0,-0.21651301770651638
s3,G,820.0,-0.24489640398444174
s3,G,840.0,-0.1920779476953985
s3,G,860.0,-0.06750885028445096
s3,G,880.0,0.025458623318811845
s3,G,900.0,0.0035285512259149547
s3,G,920.0,0.015590860782797717
s3,G,940.0,0.03685382754677363
s3,G,960.0,-0.14780937880271786
s3,G,980.0,-0.12046666713376544
s3,A,0.0,0.22472922214979862
s3,A,20.0,0.2962441085600074
s3,A,40.0,0.12873887828718367
s3,A,60.0,0.10578471418764843
s3,A,80.0,0.09017353672007178
s3,A,100.0,-0.10276685277308961
s3,A,120.0,0.011007783455598663
s3,A,140.0,0.08364021081510468
s3,A,160.0,0.13481037316128416
s3,A,180.0,-0.16670873122611746
s3,A,200.0,-0.2694083363207363
s3,A,220.0,-0.15557686169138513
s3,A,240.0,-0.14331090056666207
s3,A,260.0,-0.1790778532649383
s3,A,280.0,-0.22577174286022933
s3,A,300.0,-0.25517013581536846
s3,A,320.0,-0.44708762576792915
s3,A,340.0,-0.5034863377400525
s3,A,360.0,-0.493019797700182
s3,A,380.0,-0.24072489087889049
s3,A,400.0,-0.19692868393074414
s3,A,420.0,-0.46076880135884346
s3,A,440.0,-0.3580187662487986
s3,A,460.0,-0.38202266188040723
s3,A,480.0,-0.37012499735679383
s3,A,500.0,-0.5761024976812448
s3,A,520.0,-0.618921107641268
s3,A,540.0,-0.6510694855523096
s3,A,560.0,-0.4933744237786851
s3,A,580.0,-0.505083404484684
s3,A,600.0,-0.443967218008702
s3,A,620.0,-0.2183270502391079
s3,A,640.0,-0.32246485808399367
s3,A,660.0,-0.35522692217956126
s3,A,680.0,-0.439820086465633
s3,A,700.0,-0.4936541646374165
s3,A,720.0,-0.37159664720656105
s3,A,740.0,-0.18447769136585465
s3,A,760.0,-0.11169944061396345
s3,A,780.0,-0.30400628774482197
s3,A,800.0,-0.391065638570085
s3,A,820.0,-0.4594726202139764
s3,A,840.0,-0.43425362159930897
s3,A,860.0,-0.3371541893676634
s3,A,880.0,-0.26713596169780995
s3,A,900.0,-0.36259314764843065
s3,A,920.0,-0.3676630422723857
s3,A,940.0,-0.34945973469814123
s3,A,960.0,-0.27479198155510715
s3,A,980.0,-0.2935756352493937
s3,I,0.0,-0.10876443076412634
s3,I,20.0,-0.10759934454600917
s3,I,40.0,0.060810596423229446
s3,I,60.0,0.2314632426364105
s3,I,80.0,0.32805534189034535
s3,I,100.0,0.3551633541959356
s3,I,120.0,0.04524914181317863
s3,I,140.0,-0.00017066612220383026
s3,I,160.0,-0.20875547457543042
s3,I,180.0,0.11508776243338503
s3,I,200.0,0.1402998760691499
s3,I,220.0,0.0783209509338734
s3,I,240.0,0.07166632047689336
s3,I,260.0,0.028742929678204993
s3,I,280.0,0.01496710356178664
s3,I,300.0,0.14233031138685404
s3,I,320.0,0.25161226941951415
s3,I,340.0,0.47673861320020533
s3,I,360.0,0.38136151468080787
s3,I,380.0,0.1459852354484126
s3,I,400.0,0.1276186395751763
s3,I,420.0,0.15953189125145772
s3,I,440.0,0.07457906827264588
s3,I,460.0,0.0013077709732691664
s3,I,480.0,-0.016121219724213133
s3,I,500.0,0.06829916934431907
s3,I,520.0,-0.20214013666748465
s3,I,540.0,-0.26744909009593787
s3,I,560.0,-0.2107974843619636
s3,I,580.0,-0.22056214807355265
s3,I,600.0,-0.13702293730726817
s3,I,620.0,-0.20560139741671907
s3,I,640.0,-0.10403479046254946
s3,I,660.0,-0.0832027948126287
s3,I,680.0,0.07433347690473452
s3,I,700.0,0.092070635678483
s3,I,720.0,-0.2764431525318188
s3,I,740.0,-0.4145827837409158
s3,I,760.0,-0.5037851656343248
s3,I,780.0,-0.34220221892713365
s3,I,800.0,-0.11905688113837651
s3,I,820.0,0.08508087804013631
s3,I,840.0,0.1425934112277107
s3,I,860.0,0.011562142538080689
s3,I,880.0,-0.11636143939858687
s3,I,900.0,0.019292325305999114
s3,I,920.0,-0.07349736882228264
s3,I,940.0,0.020346853690771605
s3,I,960.0,0.2022414841173632
s3,I,980.0,0.30208058710401314
s4,G,0.0,0.056827259127515
s4,G,20.0,0.03017630247667849
s4,G,40.0,-0.007002444178870554
s4,G,60.0,-0.04906590627342808
s4,G,80.0,-0.033808934788768286
s4,G,100.0,-0.024329375929657553
s4,G,120.0,0.030407542739141112
s4,G,140.0,0.04558250218500884
s4,G,160.0,0.02254929011985003
s4,G,180.0,0.06139765035595532
s4,G,200.0,0.08040606609471576
s4,G,220.0,0.05003063485704831
s4,G,240.0,0.038936397120350165
s4,G,260.0,0.11107654761229843
s4,G,280.0,0.10940732842211358
s4,G,300.0,0.0874683330321122
s4,G,320.0,0.11005348025966362
s4,G,340.0,0.12238638844728805
s4,G,360.0,0.12298985808472405
s4,G,380.0,0.0514266218776782
s4,G,400.0,0.04535573911201123
s4,G,420.0,0.04378118941770356
s4,G,440.0,0.0692519869991187
s4,G,460.0,0.09616905458450246
s4,G,480.0,0.0784608503816207
s4,G,500.0,0.03130909596422483
s4,G,520.0,0.04953184920301512
s4,G,540.0,0.0695299954718619
s4,G,560.0,0.021839673210424806
s4,G,580.0,-0.049765936128193904
s4,G,600.0,-0.08088811940303603
