identity,picture_filename,cond_id,fslim_raw,fslim_binary,eye_raw,eye_binary,mouth_raw,mouth_binary,skin_raw,skin_binary,original_flag,is_back,formal_factorial_condition,n_subject_logs,n_trial_references,mapping_consistent_across_logs,physical_file_found
F_1,F_1_ (1).jpg,1,0,0,0,,0,,0,0,1,0,False,30,180,True,True
F_1,F_1_ (10).jpg,10,0,0,2,1,1,0,0,0,0,0,True,30,180,True,True
F_1,F_1_ (11).jpg,11,0,0,2,1,1,0,1,1,0,0,True,30,180,True,True
F_1,F_1_ (12).jpg,12,1,1,2,1,1,0,0,0,0,0,True,30,180,True,True
F_1,F_1_ (13).jpg,13,1,1,2,1,1,0,1,1,0,0,True,30,180,True,True
F_1,F_1_ (14).jpg,14,0,0,2,1,2,1,0,0,0,0,True,30,180,True,True
F_1,F_1_ (15).jpg,15,0,0,2,1,2,1,1,1,0,0,True,30,180,True,True
F_1,F_1_ (16).jpg,16,1,1,2,1,2,1,0,0,0,0,True,30,180,True,True
F_1,F_1_ (17).jpg,17,1,1,2,1,2,1,1,1,0,0,True,30,180,True,True
F_1,F_1_ (2).jpg,2,0,0,1,0,1,0,0,0,0,0,True,30,180,True,True
F_1,F_1_ (3).jpg,3,0,0,1,0,1,0,1,1,0,0,True,30,180,True,True
F_1,F_1_ (4).jpg,4,1,1,1,0,1,0,0,0,0,0,True,30,180,True,True
F_1,F_1_ (5).jpg,5,1,1,1,0,1,0,1,1,0,0,True,30,180,True,True
F_1,F_1_ (6).jpg,6,0,0,1,0,2,1,0,0,0,0,True,30,180,True,True
F_1,F_1_ (7).jpg,7,0,0,1,0,2,1,1,1,0,0,True,30,180,True,True
F_1,F_1_ (8).jpg,8,1,1,1,0,2,1,0,0,0,0,True,30,180,True,True
F_1,F_1_ (9).jpg,9,1,1,1,0,2,1,1,1,0,0,True,30,180,True,True
F_2,F_2_ (1).jpg,1,0,0,0,,0,,0,0,1,0,False,30,180,True,True
F_2,F_2_ (10).jpg,10,0,0,2,1,1,0,0,0,0,0,True,30,180,True,True
F_2,F_2_ (11).jpg,11,0,0,2,1,1,0,1,1,0,0,True,30,180,True,True
F_2,F_2_ (12).jpg,12,1,1,2,1,1,0,0,0,0,0,True,30,180,True,True
F_2,F_2_ (13).jpg,13,1,1,2,1,1,0,1,1,0,0,True,30,180,True,True
F_2,F_2_ (14).jpg,14,0,0,2,1,2,1,0,0,0,0,True,30,180,True,True
F_2,F_2_ (15).jpg,15,0,0,2,1,2,1,1,1,0,0,True,30,180,True,True
F_2,F_2_ (16).jpg,16,1,1,2,1,2,1,0,0,0,0,True,30,180,True,True
F_2,F_2_ (17).jpg,17,1,1,2,1,2,1,1,1,0,0,True,30,180,True,True
F_2,F_2_ (2).jpg,2,0,0,1,0,1,0,0,0,0,0,True,30,180,True,True
F_2,F_2_ (3).jpg,3,0,0,1,0,1,0,1,1,0,0,True,30,180,True,True
F_2,F_2_ (4).jpg,4,1,1,1,0,1,0,0,0,0,0,True,30,180,True,True
F_2,F_2_ (5).jpg,5,1,1,1,0,1,0,1,1,0,0,True,30,180,True,True
F_2,F_2_ (6).jpg,6,0,0,1,0,2,1,0,0,0,0,True,30,180,True,True
F_2,F_2_ (7).jpg,7,0,0,1,0,2,1,1,1,0,0,True,30,180,True,True
F_2,F_2_ (8).jpg,8,1,1,1,0,2,1,0,0,0,0,True,30,180,True,True
F_2,F_2_ (9).jpg,9,1,1,1,0,2,1,1,1,0,0,True,30,180,True,True
M_1,M_1_ (1).jpg,1,0,0,0,,0,,0,0,1,0,False,30,180,True,True
M_1,M_1_ (10).jpg,10,0,0,2,1,1,0,0,0,0,0,True,30,180,True,True
M_1,M_1_ (11).jpg,11,0,0,2,1,1,0,1,1,0,0,True,30,180,True,True
M_1,M_1_ (12).jpg,12,1,1,2,1,1,0,0,0,0,0,True,30,180,True,True
M_1,M_1_ (13).jpg,13,1,1,2,1,1,0,1,1,0,0,True,30,180,True,True
M_1,M_1_ (14).jpg,14,0,0,2,1,2,1,0,0,0,0,True,30,180,True,True
M_1,M_1_ (15).jpg,15,0,0,2,1,2,1,1,1,0,0,True,30,180,True,True
M_1,M_1_ (16).jpg,16,1,1,2,1,2,1,0,0,0,0,True,30,180,True,True
M_1,M_1_ (17).jpg,17,1,1,2,1,2,1,1,1,0,0,True,30,180,True,True
M_1,M_1_ (2).jpg,2,0,0,1,0,1,0,0,0,0,0,True,30,180,True,True
M_1,M_1_ (3).jpg,3,0,0,1,0,1,0,1,1,0,0,True,30,180,True,True
