"picture_filename","stimtype_identity","cond_id","fslim_raw","eye_raw","mouth_raw","skin_raw","original_flag","attention_or_back_flag","n_trial_references","n_unique_mapping_tuples","mapping_consistent","physical_file_found","n_physical_matches","resolved_path","width_px","height_px","color_mode","file_sha256","duplicate_content_count","audit_status"
"F_1_ (1).jpg","F_1","1","0","0","0","0","1","0","180","1","True","True","1","F_1_ (1).jpg","768","1024","RGB","e42df1b2ba3514f4598a4c74b2656e565111ec5cf7b23732f4405394b4743634","1","found"
"F_1_ (10).jpg","F_1","10","0","2","1","0","0","0","180","1","True","True","1","F_1_ (10).jpg","768","1024","RGB","59842c8a12092e5f15696f689f848934bc6168078f759c7b8029142cce53a951","1","found"
"F_1_ (11).jpg","F_1","11","0","2","1","1","0","0","180","1","True","True","1","F_1_ (11).jpg","768","1024","RGB","63b33cc319f397753d06cec0d8203447d5fc62b531e64da278bd0a02710d8f67","1","found"
"F_1_ (12).jpg","F_1","12","1","2","1","0","0","0","180","1","True","True","1","F_1_ (12).jpg","768","1024","RGB","b5bc65a9758fbd269df21f71f02de275ff9ad1c1e2e6961d7041deb69437abed","1","found"
"F_1_ (13).jpg","F_1","13","1","2","1","1","0","0","180","1","True","True","1","F_1_ (13).jpg","768","1024","RGB","a29c4e2cf5a001d339de5bbce56ab813ab87716c5f332e5147c13a957ed6e19c","1","found"
"F_1_ (14).jpg","F_1","14","0","2","2","0","0","0","180","1","True","True","1","F_1_ (14).jpg","768","1024","RGB","b115b1eb73432b71829430e706e7245b91119068ecaf0ea61b4d62217e60b9f7","1","found"
"F_1_ (15).jpg","F_1","15","0","2","2","1","0","0","180","1","True","True","1","F_1_ (15).jpg","768","1024","RGB","2f8a408d3adb7cced03098f03dfdaf79ad2a72920f89655509e7f4446cc96a35","1","found"
"F_1_ (16).jpg","F_1","16","1","2","2","0","0","0","180","1","True","True","1","F_1_ (16).jpg","768","1024","RGB","20e36e666d00505636162fa7270ccfebb6bbc4a42949ad69b857182403049128","1","found"
"F_1_ (17).jpg","F_1","17","1","2","2","1","0","0","180","1","True","True","1","F_1_ (17).jpg","768","1024","RGB","37d6229a9303c914a2b2b76639ee06dc3d7b900ee397792e069762601c880ead","1","found"
"F_1_ (2).jpg","F_1","2","0","1","1","0","0","0","180","1","True","True","1","F_1_ (2).jpg","768","1024","RGB","c2bb1908013a98a675ff5dca3a6167d92e16232a69bd6ced275aceebe94c2473","1","found"
"F_1_ (3).jpg","F_1","3","0","1","1","1","0","0","180","1","True","True","1","F_1_ (3).jpg","768","1024","RGB","4c9fa59e3a54552df464dfffc6997164f8ccf3ef21209f565afe48f64056746f","1","found"
"F_1_ (4).jpg","F_1","4","1","1","1","0","0","0","180","1","True","True","1","F_1_ (4).jpg","768","1024","RGB","f1b25591551caab6fa165b199d8ae36bc1b6363d566c1af6c131a07371cbc07e","1","found"
"F_1_ (5).jpg","F_1","5","1","1","1","1","0","0","180","1","True","True","1","F_1_ (5).jpg","768","1024","RGB","2e6a62c8ec6a4f3e7c36fd72b73f2b307f1ed1c5c2ee4ae90e0eb9944404acb3","1","found"
"F_1_ (6).jpg","F_1","6","0","1","2","0","0","0","180","1","True","True","1","F_1_ (6).jpg","768","1024","RGB","728360c47cdaacba8aa56e5357cc71bd1312ea8d5f9ac5bdb861f70ef0a4cc08","1","found"
"F_1_ (7).jpg","F_1","7","0","1","2","1","0","0","180","1","True","True","1","F_1_ (7).jpg","768","1024","RGB","71841d23b695de5bf9f0089108eb046cdc148a01f21d387abd422598130564a6","1","found"
"F_1_ (8).jpg","F_1","8","1","1","2","0","0","0","180","1","True","True","1","F_1_ (8).jpg","768","1024","RGB","9805de74fce949a4125cdd1e936c72c4f9f639d835c506fc942f6de111a06588","1","found"
"F_1_ (9).jpg","F_1","9","1","1","2","1","0","0","180","1","True","True","1","F_1_ (9).jpg","768","1024","RGB","a34de8d7ca7ff67bd3ec7345a77283f52091103060e5fb3cf95aa254461241df","1","found"
"F_2_ (1).jpg","F_2","1","0","0","0","0","1","0","180","1","True","True","1","F_2_ (1).jpg","768","1024","RGB","93f9683cf25e624b3b84debf9ca37c19362ef8d13b9d2d7877b76b9a531760c6","1","found"
"F_2_ (10).jpg","F_2","10","0","2","1","0","0","0","180","1","True","True","1","F_2_ (10).jpg","768","1024","RGB","f91945bcc821c262d8dcf34b2efd8c5279f1a2ad6bf13a1d211df84876aa0196","1","found"
"F_2_ (11).jpg","F_2","11","0","2","1","1","0","0","180","1","True","True","1","F_2_ (11).jpg","768","1024","RGB","2c242cbe2a430ae2848b49eee3f06d84b6c98576c6b0090481e7b901847936ac","1","found"
"F_2_ (12).jpg","F_2","12","1","2","1","0","0","0","180","1","True","True","1","F_2_ (12).jpg","768","1024","RGB","16ef728d9ece9c48d0d5e42bedc6ef4dab1fc9d1567da00b67e37da87de2cdb9","1","found"
"F_2_ (13).jpg","F_2","13","1","2","1","1","0","0","180","1","True","True","1","F_2_ (13).jpg","768","1024","RGB","bf42bdb322280b432f5482a7b2440067a106cd435c0368080ba71437ee41bb81","1","found"
"F_2_ (14).jpg","F_2","14","0","2","2","0","0","0","180","1","True","True","1","F_2_ (14).jpg","768","1024","RGB","08b8a3f1235a12388c1f1fd493bc1d1bd724ef1b46c1e47d9990a3d299304a33","1","found"
"F_2_ (15).jpg","F_2","15","0","2","2","1","0","0","180","1","True","True","1","F_2_ (15).jpg","768","1024","RGB","abec53235bb5256c18a2abacd35d35f5373c93989633639ef3cbe3f8a4d89e55","1","found"
"F_2_ (16).jpg","F_2","16","1","2","2","0","0","0","180","1","True","True","1","F_2_ (16).jpg","768","1024","RGB","de443c0d66a3a928f649b3d84180e9afb4fc49ece35cb461ca2149f4de9964b2","1","found"
