subj,metric,time_ms,beta_uV
s1,G,-200.0,0.06580752025110245
s1,G,-180.0,0.1340642051755071
s1,G,-160.0,-0.021693973114423153
s1,G,-140.0,-0.22493759884299647
s1,G,-120.0,-0.12957997915164973
s1,G,-100.0,-0.033618349884395125
s1,G,-80.0,-0.09689200491557505
s1,G,-60.0,-0.057979372040311485
s1,G,-40.0,0.1421463547445532
s1,G,-20.0,0.15577772285353683
s1,G,0.0,0.10457457649364502
s1,A,-200.0,-0.03847743506632986
s1,A,-180.0,-0.048594616657034975
s1,A,-160.0,-0.03433815302883364
s1,A,-140.0,-0.04366612820249889
s1,A,-120.0,-0.028838140036726134
s1,A,-100.0,0.19523865903748128
s1,A,-80.0,0.2272638642301799
s1,A,-60.0,-0.10411932880396048
s1,A,-40.0,-0.15476888070692477
s1,A,-20.0,-0.01497765085350988
s1,A,0.0,0.02467654940406855
s1,I,-200.0,0.05609649875013342
s1,I,-180.0,0.0570592713771754
s1,I,-160.0,0.015305709273076978
s1,I,-140.0,0.1811623002513375
s1,I,-120.0,0.19003109719912395
s1,I,-100.0,-0.10532819971080448
s1,I,-80.0,-0.1629551779634399
s1,I,-60.0,0.09215226873309623
s1,I,-40.0,0.023882386196585628
s1,I,-20.0,-0.20082421281522753
s1,I,0.0,-0.15252266175047802
s2,G,-200.0,-0.013421025200690651
s2,G,-180.0,-0.06028346709702811
s2,G,-160.0,-0.11641019589286655
s2,G,-140.0,-0.13502823140506973
s2,G,-120.0,-0.015802256366880204
s2,G,-100.0,0.0044949347405407215
s2,G,-80.0,0.11949983892958835
s2,G,-60.0,0.16184077655566306
s2,G,-40.0,0.17477533436344023
s2,G,-20.0,-0.0130198914831176
s2,G,0.0,-0.1505760732634557
s2,A,-200.0,-0.004913624697673544
s2,A,-180.0,-0.03631136882616672
s2,A,-160.0,-0.09135265411158713
s2,A,-140.0,-0.07870170611919372
s2,A,-120.0,-0.024067322461472147
s2,A,-100.0,-0.020736630726298437
s2,A,-80.0,0.0858901842598199
s2,A,-60.0,0.13045784611308717
s2,A,-40.0,0.10532507663277584
s2,A,-20.0,-0.023563546063257067
s2,A,0.0,-0.05340131038135562
s2,I,-200.0,0.016006041320976376
s2,I,-180.0,0.14240490585519178
s2,I,-160.0,0.30912918931854444
s2,I,-140.0,0.26697942860286433
s2,I,-120.0,0.04416442694069175
s2,I,-100.0,0.08489758390621013
s2,I,-80.0,-0.026549775501978026
s2,I,-60.0,-0.26718703296225543
s2,I,-40.0,-0.27200470807229093
s2,I,-20.0,-0.23603107097757006
s2,I,0.0,0.00727790534097077
s3,G,-200.0,0.11949570460249045
s3,G,-180.0,0.24841440797204317
s3,G,-160.0,0.14373486538853866
s3,G,-140.0,-0.019249690822275796
s3,G,-120.0,-0.06749710720234325
s3,G,-100.0,-0.062183889896425884
s3,G,-80.0,-0.025642049469500446
s3,G,-60.0,-0.11810809163285955
s3,G,-40.0,-0.12585373339883213
s3,G,-20.0,-0.04112915611794655
s3,G,0.0,-0.15329186499356187
s3,A,-200.0,-0.11287716413320976
s3,A,-180.0,-0.2924184533353746
s3,A,-160.0,-0.26413806009819507
s3,A,-140.0,-0.13718752006606694
s3,A,-120.0,-0.027637096451383625
s3,A,-100.0,0.14953207095467963
s3,A,-80.0,0.19927300942993756
s3,A,-60.0,0.15694808614353617
s3,A,-40.0,0.13484154465922155
s3,A,-20.0,0.11014802467506446
s3,A,0.0,0.22472922214979862
s3,I,-200.0,0.1548067312167492
s3,I,-180.0,0.2720891303462493
s3,I,-160.0,0.16195531915588918
s3,I,-140.0,-0.003181934502055672
s3,I,-120.0,-0.022594482669091913
s3,I,-100.0,-0.08799092713105322
s3,I,-80.0,-0.30940064391686845
s3,I,-60.0,-0.10296293214150294
s3,I,-40.0,-0.02243854807274914
s3,I,-20.0,-0.0022298686046798577
s3,I,0.0,-0.10876443076412634
s4,G,-200.0,0.005224452161480771
s4,G,-180.0,0.012645437628227185
s4,G,-160.0,0.04848675371474917
s4,G,-140.0,0.01734634150686026
s4,G,-120.0,-0.04047312547394248
s4,G,-100.0,-0.08668823217629815
s4,G,-80.0,-0.015007221978354985
s4,G,-60.0,0.016545510730905044
s4,G,-40.0,-0.02406124018992829
s4,G,-20.0,0.023950068231341104
s4,G,0.0,0.056827259127515
s4,A,-200.0,0.0040826255986385444
s4,A,-180.0,-0.03147099138264141
s4,A,-160.0,-0.045941912753312365
s4,A,-140.0,-0.04598815328222515
s4,A,-120.0,-0.014917529747335068
s4,A,-100.0,0.04701015354871747
s4,A,-80.0,0.08070335245190612
s4,A,-60.0,0.06206728176188546
s4,A,-40.0,-0.02045426272118353
s4,A,-20.0,-0.02961543267366082
s4,A,0.0,-0.0061797268638458525
s4,I,-200.0,0.09029371425106952
s4,I,-180.0,0.17082550596546187
s4,I,-160.0,0.081504276374624
s4,I,-140.0,0.03427461574352021
s4,I,-120.0,-0.029579813002987454
s4,I,-100.0,-0.04946366932304912
s4,I,-80.0,-0.10872918577986655
s4,I,-60.0,-0.10604180389400478
s4,I,-40.0,-0.05180874250348566
s4,I,-20.0,-0.02288207355343147
s4,I,0.0,0.010229466694282291
s6,G,-200.0,-0.09062213435937165
s6,G,-180.0,-0.22061423149839554
s6,G,-160.0,-0.2868512898401371
s6,G,-140.0,-0.18449169168498272
s6,G,-120.0,0.06304121519680256
s6,G,-100.0,0.16822359553067695
s6,G,-80.0,0.13105743819973725
s6,G,-60.0,0.2545691037340404
s6,G,-40.0,0.1888047790647046
s6,G,-20.0,0.026674989943729948
s6,G,0.0,-0.15115702775460466
s6,A,-200.0,-0.05699625326314679
s6,A,-180.0,0.051460373498096026
s6,A,-160.0,0.32607215736365247
s6,A,-140.0,0.32194959805689133
s6,A,-120.0,0.24188610640910208
s6,A,-100.0,0.06144678141240992
s6,A,-80.0,-0.25544916487867797
s6,A,-60.0,-0.19200634472423445
s6,A,-40.0,-0.18908511720366164
s6,A,-20.0,-0.1622912351673915
s6,A,0.0,-0.22976847455066174
s6,I,-200.0,-0.003996028584675189
s6,I,-180.0,0.015183531067161499
s6,I,-160.0,0.0592379522268314
s6,I,-140.0,-0.1851112384896959
s6,I,-120.0,-0.19965535670400172
s6,I,-100.0,-0.11572148581459647
s6,I,-80.0,0.029378166690724808
s6,I,-60.0,0.014065905973972302
s6,I,-40.0,0.0599640197092543
s6,I,-20.0,0.14649927025530918
s6,I,0.0,0.23496766676044914
s7,G,-200.0,0.2054929579968141
s7,G,-180.0,0.14917370087666074
s7,G,-160.0,0.1492480302983877
s7,G,-140.0,0.31642780180238556
s7,G,-120.0,0.22614976620278007
s7,G,-100.0,0.023297276396075567
s7,G,-80.0,-0.049807241801679725
s7,G,-60.0,-0.1057890234567918
s7,G,-40.0,-0.2964469990683931
s7,G,-20.0,-0.39507550349265214
s7,G,0.0,-0.39563946828601076
