held_out_identity,term,estimate,p
F_1,G,0.06459156850305729,6.706767684709236e-05
F_1,A,0.13735286342529948,6.880028485555592e-14
F_1,I,0.1079523634285347,3.099757848307717e-07
F_1,RatingDimension_Beauty:G,-0.1847534572732377,8.513359552122596e-18
F_1,RatingDimension_Beauty:A,-0.23021673150627173,9.574190818024408e-23
F_1,RatingDimension_Beauty:I,0.01164124198819836,0.5882501073588344
F_2,G,0.03254873692309708,0.05065205370685534
F_2,A,0.25296120273337247,4.754060068528013e-48
F_2,I,-0.1636086299429906,2.4320756318780402e-15
F_2,RatingDimension_Beauty:G,-0.12782282912739054,4.712752393355094e-09
F_2,RatingDimension_Beauty:A,-0.40450790150421995,4.345901419364094e-71
F_2,RatingDimension_Beauty:I,0.47741041943823653,9.670412562463498e-73
M_1,G,-0.07969821604451267,2.1253265583377957e-06
M_1,A,0.2441746666511917,3.135531011361496e-48
M_1,I,0.06104830961543688,0.0006783179889777082
M_1,RatingDimension_Beauty:G,0.11701087818826678,2.661951346852505e-08
M_1,RatingDimension_Beauty:A,-0.37963901582820625,8.9029508315298e-74
M_1,RatingDimension_Beauty:I,0.05433472633207408,0.004557577301835361
M_2,G,-0.007495770524830004,0.7098840259318431
M_2,A,0.25805811452557437,1.0375822715342297e-40
M_2,I,-0.10429714927061978,3.927877956537889e-05
M_2,RatingDimension_Beauty:G,-0.05863175747506225,0.02145938255307214
M_2,RatingDimension_Beauty:A,-0.3156821959564115,1.6118362421009855e-36
M_2,RatingDimension_Beauty:I,0.2942235017684937,2.5056370767849787e-31
