fslim,eye,mouth,skin,G,A,I
0,0,0,0,-0.9522373525859462,-1.3406869814057807,-0.35695600060251687
0,0,0,1,-0.8462393216391072,0.5771616897631614,0.04431436947136079
0,0,1,0,-0.7407919484637453,-1.3262884528282701,-0.5487310179376115
0,0,1,1,-0.4528326541259029,0.5141204533634489,-0.3073033131168369
0,1,0,0,-1.0685646121177519,-1.3194963128385466,-0.2451603901786123
0,1,0,1,-0.30826187521282755,0.45733902954539657,0.5380023800341304
0,1,1,0,-0.6801319578719937,-1.3090957082495285,-0.7491339554005129
0,1,1,1,-0.6161592075955552,0.564215361602434,0.06971116192518695
1,0,0,0,1.394106972558313,-0.40089463828103467,-0.17422816539058006
1,0,0,1,0.9574376473603721,1.181006093357139,0.4506117991027682
1,0,1,0,0.007058446611875657,-0.5039822561795271,-0.4979570684066937
1,0,1,1,-0.008384595868977857,1.1249448847524237,-0.05422329442073104
1,1,0,0,1.5883036695687702,-0.15421463919348047,0.41064767749866143
1,1,0,1,1.248881873744411,1.268740810125105,1.0434348686017854
1,1,1,0,0.2772417792649319,-0.43117616611749376,-0.05787973666768875
1,1,1,1,0.20057313637313443,1.0983068325845526,0.4348506854878881
